Xiaomi xiaomi Mi A2 
Time Stamp,SSID,BSSID,Strength,Primary Frequency,Distance,802.11mc,Security
2020/02/16-12:05:26,BPGC-NAB,08:4f:a9:10:4b:80,-57dBm,2462MHz,~6.9m,false,[ESS][WFA-HT]
2020/02/16-12:05:26,BPGC-NAB,70:ea:1a:22:8f:e0,-58dBm,2437MHz,~7.8m,false,[ESS][WFA-HT]
2020/02/16-12:05:26,BPGC-NAB,70:ea:1a:22:96:20,-68dBm,2462MHz,~24.3m,false,[ESS][WFA-HT]
2020/02/16-12:05:26,BPGC-NAB,a8:b4:56:ca:8f:40,-71dBm,2437MHz,~34.7m,false,[ESS][WFA-HT]
2020/02/16-12:05:27,BPGC-NAB,70:ea:1a:22:8f:e0,-65dBm,2437MHz,~17.4m,false,[ESS][WFA-HT]
2020/02/16-12:05:27,BPGC-NAB,70:ea:1a:22:96:20,-68dBm,2462MHz,~24.3m,false,[ESS][WFA-HT]
2020/02/16-12:05:27,BPGC-NAB,a8:b4:56:ca:8f:40,-65dBm,2437MHz,~17.4m,false,[ESS][WFA-HT]
2020/02/16-12:05:28,BPGC-NAB,70:ea:1a:22:8f:e0,-65dBm,2437MHz,~17.4m,false,[ESS][WFA-HT]
2020/02/16-12:05:28,BPGC-NAB,70:ea:1a:22:96:20,-68dBm,2462MHz,~24.3m,false,[ESS][WFA-HT]
2020/02/16-12:05:28,BPGC-NAB,a8:b4:56:ca:8f:40,-65dBm,2437MHz,~17.4m,false,[ESS][WFA-HT]
2020/02/16-12:05:29,BPGC-NAB,70:ea:1a:22:8f:e0,-65dBm,2437MHz,~17.4m,false,[ESS][WFA-HT]
2020/02/16-12:05:29,BPGC-NAB,70:ea:1a:22:96:20,-68dBm,2462MHz,~24.3m,false,[ESS][WFA-HT]
2020/02/16-12:05:29,BPGC-NAB,a8:b4:56:ca:8f:40,-65dBm,2437MHz,~17.4m,false,[ESS][WFA-HT]
2020/02/16-12:05:30,BPGC-NAB,70:ea:1a:22:8f:e0,-65dBm,2437MHz,~17.4m,false,[ESS][WFA-HT]
2020/02/16-12:05:30,BPGC-NAB,70:ea:1a:22:96:20,-68dBm,2462MHz,~24.3m,false,[ESS][WFA-HT]
2020/02/16-12:05:30,BPGC-NAB,a8:b4:56:ca:8f:40,-65dBm,2437MHz,~17.4m,false,[ESS][WFA-HT]
2020/02/16-12:05:31,BPGC-NAB,70:ea:1a:22:8f:e0,-65dBm,2437MHz,~17.4m,false,[ESS][WFA-HT]
2020/02/16-12:05:31,BPGC-NAB,70:ea:1a:22:96:20,-68dBm,2462MHz,~24.3m,false,[ESS][WFA-HT]
2020/02/16-12:05:31,BPGC-NAB,a8:b4:56:ca:8f:40,-65dBm,2437MHz,~17.4m,false,[ESS][WFA-HT]
2020/02/16-12:05:32,BPGC-NAB,00:a3:8e:60:f2:a0,-55dBm,2462MHz,~5.4m,false,[ESS][WFA-HT]
2020/02/16-12:05:32,BPGC-NAB,08:4f:a9:10:4b:80,-65dBm,2462MHz,~17.2m,false,[ESS][WFA-HT]
2020/02/16-12:05:32,BPGC-NAB,08:4f:a9:2d:8a:40,-76dBm,2462MHz,~61.1m,false,[ESS][WFA-HT]
2020/02/16-12:05:32,BPGC-NAB,08:4f:a9:2d:8a:a0,-74dBm,2412MHz,~49.6m,false,[ESS][WFA-HT]
2020/02/16-12:05:32,BPGC-NAB,70:ea:1a:22:8f:e0,-65dBm,2437MHz,~17.4m,false,[ESS][WFA-HT]
2020/02/16-12:05:32,BPGC-NAB,70:ea:1a:22:96:00,-45dBm,2412MHz,~1.8m,false,[ESS][WFA-HT]
2020/02/16-12:05:32,BPGC-NAB,70:ea:1a:22:96:20,-68dBm,2462MHz,~24.3m,false,[ESS][WFA-HT]
2020/02/16-12:05:32,BPGC-NAB,70:ea:1a:22:98:20,-51dBm,2437MHz,~3.5m,false,[ESS][WFA-HT]
2020/02/16-12:05:32,BPGC-NAB,70:ea:1a:22:a0:20,-69dBm,2437MHz,~27.6m,false,[ESS][WFA-HT]
2020/02/16-12:05:32,BPGC-NAB,70:ea:1a:22:a5:a0,-69dBm,2462MHz,~27.3m,false,[ESS][WFA-HT]
2020/02/16-12:05:32,BPGC-NAB,70:ea:1a:22:ac:00,-64dBm,2437MHz,~15.5m,false,[ESS][WFA-HT]
2020/02/16-12:05:32,sks,88:63:df:bb:74:a5,-83dBm,2462MHz,~136.8m,false,[WPA2-PSK-CCMP][RSN-PSK-CCMP][ESS][WFA-HT]
2020/02/16-12:05:32,BPGC-NAB,a8:b4:56:ca:8f:40,-65dBm,2437MHz,~17.4m,false,[ESS][WFA-HT]
2020/02/16-12:05:32,BPGC-NAB,a8:b4:56:cc:de:00,-65dBm,2462MHz,~17.2m,false,[ESS][WFA-HT]
2020/02/16-12:05:33,BPGC-NAB,00:a3:8e:60:f2:a0,-55dBm,2462MHz,~5.4m,false,[ESS][WFA-HT]
2020/02/16-12:05:33,BPGC-NAB,08:4f:a9:10:4b:80,-65dBm,2462MHz,~17.2m,false,[ESS][WFA-HT]
2020/02/16-12:05:33,BPGC-NAB,08:4f:a9:2d:8a:40,-76dBm,2462MHz,~61.1m,false,[ESS][WFA-HT]
