Xiaomi Xiaomi Redmi Note 5 Pro 
Time Stamp,SSID,BSSID,Strength,Primary Frequency,Distance,802.11mc,Security
2020/02/16-12:47:22,BPGC-NAB,00:a3:8e:4e:29:a0,-47dBm,2412MHz,~2.2m,false,[ESS]
2020/02/16-12:47:22,BPGC-NAB,08:4f:a9:2d:8a:40,-79dBm,2462MHz,~86.3m,false,[ESS]
2020/02/16-12:47:22,BPGC-NAB,08:4f:a9:2d:8a:a0,-77dBm,2412MHz,~70.0m,false,[ESS]
2020/02/16-12:47:22,BPGC-NAB,08:4f:a9:30:00:00,-60dBm,2437MHz,~9.8m,false,[ESS]
2020/02/16-12:47:22,BPGC-NAB,08:4f:a9:39:68:20,-65dBm,2437MHz,~17.4m,false,[ESS]
2020/02/16-12:47:22,BPGC-NAB,08:4f:a9:39:68:40,-53dBm,2462MHz,~4.3m,false,[ESS]
2020/02/16-12:47:22,BPGC-NAB,70:ea:1a:22:97:80,-79dBm,2412MHz,~88.1m,false,[ESS]
2020/02/16-12:47:22,BPGC-NAB,70:ea:1a:22:9f:20,-47dBm,2462MHz,~2.2m,false,[ESS]
2020/02/16-12:47:22,BPGC-NAB,70:ea:1a:22:a0:20,-80dBm,2437MHz,~97.9m,false,[ESS]
2020/02/16-12:47:22,BPGC-NAB,70:ea:1a:22:a5:a0,-79dBm,2462MHz,~86.3m,false,[ESS]
2020/02/16-12:47:22,BPGC-NAB,70:ea:1a:22:a9:40,-69dBm,2412MHz,~27.9m,false,[ESS]
2020/02/16-12:47:22,BPGC-NAB,70:ea:1a:22:ac:00,-73dBm,2437MHz,~43.7m,false,[ESS]
2020/02/16-12:47:22,sks,88:63:df:bb:74:a5,-44dBm,2462MHz,~1.5m,false,[WPA2-PSK-CCMP][RSN-PSK-CCMP][ESS]
2020/02/16-12:47:22,DIRECT-1D-HP DeskJet 2600 series,ac:e2:d3:b6:ba:1e,-66dBm,2437MHz,~19.5m,false,[WPA2-PSK-CCMP][RSN-PSK-CCMP][ESS][WPS]
2020/02/16-12:47:23,BPGC-NAB,00:a3:8e:4e:29:a0,-50dBm,2412MHz,~3.1m,false,[ESS]
2020/02/16-12:47:23,BPGC-NAB,08:4f:a9:2d:8a:40,-79dBm,2462MHz,~86.3m,false,[ESS]
2020/02/16-12:47:23,BPGC-NAB,08:4f:a9:2d:8a:a0,-78dBm,2412MHz,~78.5m,false,[ESS]
2020/02/16-12:47:23,BPGC-NAB,08:4f:a9:30:00:00,-56dBm,2437MHz,~6.2m,false,[ESS]
2020/02/16-12:47:23,BPGC-NAB,08:4f:a9:39:68:20,-65dBm,2437MHz,~17.4m,false,[ESS]
2020/02/16-12:47:23,BPGC-NAB,08:4f:a9:39:68:40,-54dBm,2462MHz,~4.9m,false,[ESS]
2020/02/16-12:47:23,BPGC-NAB,70:ea:1a:22:97:80,-79dBm,2412MHz,~88.1m,false,[ESS]
2020/02/16-12:47:23,BPGC-NAB,70:ea:1a:22:9f:20,-48dBm,2462MHz,~2.4m,false,[ESS]
2020/02/16-12:47:23,BPGC-NAB,70:ea:1a:22:a5:a0,-73dBm,2462MHz,~43.3m,false,[ESS]
2020/02/16-12:47:23,BPGC-NAB,70:ea:1a:22:a9:40,-68dBm,2412MHz,~24.8m,false,[ESS]
2020/02/16-12:47:23,BPGC-NAB,70:ea:1a:22:ac:00,-73dBm,2437MHz,~43.7m,false,[ESS]
