Xiaomi xiaomi Mi A1 xiaomi/tissot/tissot_sprout:9/PKQ1.180917.001/V10.0.16.0.PDHMIXM:user/release-keys
Time Stamp,SSID,BSSID,Strength,Primary Frequency,Distance,802.11mc,Security
2020/02/16-12:40:30,BPGC-NAB,00:a3:8e:60:f2:a0,-80dBm,2462MHz,~96.9m,false,[ESS]
2020/02/16-12:40:30,BPGC-NAB,08:4f:a9:30:00:00,-84dBm,2437MHz,~155.1m,false,[ESS]
2020/02/16-12:40:30,BPGC-NAB,08:4f:a9:39:6a:40,-83dBm,2462MHz,~136.8m,false,[ESS]
2020/02/16-12:40:30,BPGC-NAB,70:ea:1a:22:87:60,-76dBm,2412MHz,~62.4m,false,[ESS]
2020/02/16-12:40:30,BPGC-NAB,70:ea:1a:22:96:00,-85dBm,2412MHz,~175.8m,false,[ESS]
2020/02/16-12:40:30,BPGC-NAB,70:ea:1a:22:97:80,-58dBm,2412MHz,~7.9m,false,[ESS]
2020/02/16-12:40:30,BPGC-NAB,70:ea:1a:22:98:20,-70dBm,2437MHz,~30.9m,false,[ESS]
2020/02/16-12:40:30,BPGC-NAB,70:ea:1a:22:a0:20,-68dBm,2437MHz,~24.6m,false,[ESS]
2020/02/16-12:40:30,BPGC-NAB,70:ea:1a:22:a5:a0,-66dBm,2462MHz,~19.3m,false,[ESS]
2020/02/16-12:40:30,BPGC-NAB,70:ea:1a:22:a9:40,-64dBm,2412MHz,~15.7m,false,[ESS]
2020/02/16-12:40:30,BPGC-NAB,70:ea:1a:22:ac:00,-73dBm,2437MHz,~43.7m,false,[ESS]
2020/02/16-12:40:30,BPGC-NAB,a8:b4:56:cc:de:00,-75dBm,2462MHz,~54.5m,false,[ESS]
2020/02/16-12:40:31,BPGC-NAB,00:a3:8e:4e:29:a0,-78dBm,2412MHz,~78.5m,false,[ESS]
2020/02/16-12:40:31,BPGC-NAB,00:a3:8e:60:f2:a0,-78dBm,2462MHz,~77.0m,false,[ESS]
2020/02/16-12:40:31,BPGC-NAB,08:4f:a9:30:00:00,-69dBm,2437MHz,~27.6m,false,[ESS]
2020/02/16-12:40:31,BPGC-NAB,08:4f:a9:39:68:20,-70dBm,2437MHz,~30.9m,false,[ESS]
2020/02/16-12:40:31,BPGC-NAB,08:4f:a9:39:68:40,-59dBm,2462MHz,~8.6m,false,[ESS]
2020/02/16-12:40:31,BPGC-NAB,08:4f:a9:39:6a:40,-67dBm,2462MHz,~21.7m,false,[ESS]
2020/02/16-12:40:31,BPGC-NAB,70:ea:1a:22:87:60,-69dBm,2412MHz,~27.9m,false,[ESS]
2020/02/16-12:40:31,BPGC-NAB,70:ea:1a:22:92:40,-86dBm,2412MHz,~197.3m,false,[ESS]
2020/02/16-12:40:31,BPGC-NAB,70:ea:1a:22:96:00,-88dBm,2412MHz,~248.4m,false,[ESS]
