OnePlus OnePlus ONEPLUS A5000 
Time Stamp,SSID,BSSID,Strength,Primary Frequency,Distance,802.11mc,Security
2020/02/16-12:42:20,BPGC-NAB,00:a3:8e:4e:29:a0,-80dBm,2412MHz,~98.9m,false,[ESS]
2020/02/16-12:42:20,BPGC-NAB,08:4f:a9:30:00:00,-68dBm,2437MHz,~24.6m,false,[ESS]
2020/02/16-12:42:20,BPGC-NAB,08:4f:a9:39:68:20,-79dBm,2437MHz,~87.2m,false,[ESS]
2020/02/16-12:42:20,BPGC-NAB,08:4f:a9:39:68:40,-62dBm,2462MHz,~12.2m,false,[ESS]
2020/02/16-12:42:20,BPGC-NAB,08:4f:a9:39:6a:40,-66dBm,2462MHz,~19.3m,false,[ESS]
2020/02/16-12:42:20,BPGC-NAB,70:ea:1a:22:87:60,-77dBm,2412MHz,~70.0m,false,[ESS]
2020/02/16-12:42:20,BPGC-NAB,70:ea:1a:22:97:80,-81dBm,2412MHz,~110.9m,false,[ESS]
2020/02/16-12:42:20,BPGC-NAB,70:ea:1a:22:9f:20,-69dBm,2462MHz,~27.3m,false,[ESS]
2020/02/16-12:42:20,BPGC-NAB,70:ea:1a:22:9f:e0,-82dBm,2462MHz,~122.0m,false,[ESS]
2020/02/16-12:42:20,sks,88:63:df:bb:74:a5,-78dBm,2462MHz,~77.0m,false,[WPA2-PSK-CCMP][ESS]
2020/02/16-12:42:20,DIRECT-1D-HP DeskJet 2600 series,ac:e2:d3:b6:ba:1e,-86dBm,2437MHz,~195.3m,false,[WPA2-PSK-CCMP][ESS][WPS]
2020/02/16-12:42:21,BPGC-NAB,08:4f:a9:30:00:00,-82dBm,2437MHz,~123.2m,false,[ESS]
2020/02/16-12:42:21,BPGC-NAB,08:4f:a9:39:6a:40,-61dBm,2462MHz,~10.9m,false,[ESS]
2020/02/16-12:42:21,BPGC-NAB,70:ea:1a:22:97:80,-80dBm,2412MHz,~98.9m,false,[ESS]
2020/02/16-12:42:21,BPGC-NAB,70:ea:1a:22:9f:e0,-82dBm,2462MHz,~122.0m,false,[ESS]
2020/02/16-12:42:21,sks,88:63:df:bb:74:a5,-81dBm,2462MHz,~108.7m,false,[WPA2-PSK-CCMP][ESS]
2020/02/16-12:42:22,BPGC-NAB,08:4f:a9:30:00:00,-87dBm,2437MHz,~219.1m,false,[ESS]
2020/02/16-12:42:22,BPGC-NAB,08:4f:a9:39:6a:40,-65dBm,2462MHz,~17.2m,false,[ESS]
2020/02/16-12:42:22,BPGC-NAB,70:ea:1a:22:97:80,-79dBm,2412MHz,~88.1m,false,[ESS]
2020/02/16-12:42:22,DIRECT-1D-HP DeskJet 2600 series,ac:e2:d3:b6:ba:1e,-84dBm,2437MHz,~155.1m,false,[WPA2-PSK-CCMP][ESS][WPS]
2020/02/16-12:42:23,BPGC-NAB,08:4f:a9:30:00:00,-87dBm,2437MHz,~219.1m,false,[ESS]
2020/02/16-12:42:23,BPGC-NAB,08:4f:a9:39:6a:40,-58dBm,2462MHz,~7.7m,false,[ESS]
2020/02/16-12:42:23,BPGC-NAB,70:ea:1a:22:97:80,-79dBm,2412MHz,~88.1m,false,[ESS]
2020/02/16-12:42:23,sks,88:63:df:bb:74:a5,-79dBm,2462MHz,~86.3m,false,[WPA2-PSK-CCMP][ESS]
2020/02/16-12:42:23,DIRECT-1D-HP DeskJet 2600 series,ac:e2:d3:b6:ba:1e,-84dBm,2437MHz,~155.1m,false,[WPA2-PSK-CCMP][ESS][WPS]
2020/02/16-12:42:24,BPGC-NAB,08:4f:a9:30:00:00,-88dBm,2437MHz,~245.8m,false,[ESS]
2020/02/16-12:42:24,BPGC-NAB,08:4f:a9:39:6a:40,-51dBm,2462MHz,~3.4m,false,[ESS]
2020/02/16-12:42:24,BPGC-NAB,70:ea:1a:22:9f:e0,-83dBm,2462MHz,~136.8m,false,[ESS]
2020/02/16-12:42:24,sks,88:63:df:bb:74:a5,-80dBm,2462MHz,~96.9m,false,[WPA2-PSK-CCMP][ESS]
2020/02/16-12:42:24,DIRECT-1D-HP DeskJet 2600 series,ac:e2:d3:b6:ba:1e,-85dBm,2437MHz,~174.0m,false,[WPA2-PSK-CCMP][ESS][WPS]
2020/02/16-12:42:25,BPGC-NAB,08:4f:a9:30:00:00,-90dBm,2437MHz,~309.5m,false,[ESS]
2020/02/16-12:42:25,BPGC-NAB,08:4f:a9:39:6a:40,-54dBm,2462MHz,~4.9m,false,[ESS]
2020/02/16-12:42:25,BPGC-NAB,70:ea:1a:22:9f:e0,-83dBm,2462MHz,~136.8m,false,[ESS]
2020/02/16-12:42:25,sks,88:63:df:bb:74:a5,-81dBm,2462MHz,~108.7m,false,[WPA2-PSK-CCMP][ESS]
2020/02/16-12:42:25,DIRECT-1D-HP DeskJet 2600 series,ac:e2:d3:b6:ba:1e,-84dBm,2437MHz,~155.1m,false,[WPA2-PSK-CCMP][ESS][WPS]
2020/02/16-12:42:26,BPGC-NAB,08:4f:a9:30:00:00,-89dBm,2437MHz,~275.8m,false,[ESS]
2020/02/16-12:42:26,BPGC-NAB,08:4f:a9:39:6a:40,-60dBm,2462MHz,~9.7m,false,[ESS]
2020/02/16-12:42:26,sks,88:63:df:bb:74:a5,-82dBm,2462MHz,~122.0m,false,[WPA2-PSK-CCMP][ESS]
2020/02/16-12:42:26,DIRECT-1D-HP DeskJet 2600 series,ac:e2:d3:b6:ba:1e,-83dBm,2437MHz,~138.2m,false,[WPA2-PSK-CCMP][ESS][WPS]
2020/02/16-12:42:27,BPGC-NAB,08:4f:a9:30:00:00,-89dBm,2437MHz,~275.8m,false,[ESS]
2020/02/16-12:42:27,BPGC-NAB,08:4f:a9:39:6a:40,-58dBm,2462MHz,~7.7m,false,[ESS]
2020/02/16-12:42:27,sks,88:63:df:bb:74:a5,-80dBm,2462MHz,~96.9m,false,[WPA2-PSK-CCMP][ESS]
2020/02/16-12:42:27,DIRECT-1D-HP DeskJet 2600 series,ac:e2:d3:b6:ba:1e,-83dBm,2437MHz,~138.2m,false,[WPA2-PSK-CCMP][ESS][WPS]
2020/02/16-12:42:28,BPGC-NAB,08:4f:a9:39:6a:40,-60dBm,2462MHz,~9.7m,false,[ESS]
2020/02/16-12:42:28,sks,88:63:df:bb:74:a5,-80dBm,2462MHz,~96.9m,false,[WPA2-PSK-CCMP][ESS]
2020/02/16-12:42:29,BPGC-NAB,08:4f:a9:30:00:00,-86dBm,2437MHz,~195.3m,false,[ESS]
2020/02/16-12:42:29,BPGC-NAB,08:4f:a9:39:6a:40,-65dBm,2462MHz,~17.2m,false,[ESS]
2020/02/16-12:42:29,DIRECT-1D-HP DeskJet 2600 series,ac:e2:d3:b6:ba:1e,-82dBm,2437MHz,~123.2m,false,[WPA2-PSK-CCMP][ESS][WPS]
2020/02/16-12:42:30,BPGC-NAB,08:4f:a9:30:00:00,-86dBm,2437MHz,~195.3m,false,[ESS]
2020/02/16-12:42:30,BPGC-NAB,08:4f:a9:39:6a:40,-61dBm,2462MHz,~10.9m,false,[ESS]
2020/02/16-12:42:30,DIRECT-1D-HP DeskJet 2600 series,ac:e2:d3:b6:ba:1e,-83dBm,2437MHz,~138.2m,false,[WPA2-PSK-CCMP][ESS][WPS]
2020/02/16-12:42:31,BPGC-NAB,08:4f:a9:30:00:00,-86dBm,2437MHz,~195.3m,false,[ESS]
2020/02/16-12:42:31,BPGC-NAB,08:4f:a9:39:68:40,-86dBm,2462MHz,~193.3m,false,[ESS]
2020/02/16-12:42:31,BPGC-NAB,08:4f:a9:39:6a:40,-58dBm,2462MHz,~7.7m,false,[ESS]
2020/02/16-12:42:31,sks,88:63:df:bb:74:a5,-84dBm,2462MHz,~153.5m,false,[WPA2-PSK-CCMP][ESS]
2020/02/16-12:42:31,DIRECT-1D-HP DeskJet 2600 series,ac:e2:d3:b6:ba:1e,-84dBm,2437MHz,~155.1m,false,[WPA2-PSK-CCMP][ESS][WPS]
2020/02/16-12:42:32,BPGC-NAB,08:4f:a9:30:00:00,-86dBm,2437MHz,~195.3m,false,[ESS]
2020/02/16-12:42:32,BPGC-NAB,08:4f:a9:39:68:40,-86dBm,2462MHz,~193.3m,false,[ESS]
2020/02/16-12:42:32,BPGC-NAB,08:4f:a9:39:6a:40,-52dBm,2462MHz,~3.9m,false,[ESS]
2020/02/16-12:42:32,BPGC-NAB,70:ea:1a:22:9f:e0,-87dBm,2462MHz,~216.9m,false,[ESS]
2020/02/16-12:42:32,BPGC-NAB,70:ea:1a:22:a5:a0,-84dBm,2462MHz,~153.5m,false,[ESS]
2020/02/16-12:42:32,sks,88:63:df:bb:74:a5,-83dBm,2462MHz,~136.8m,false,[WPA2-PSK-CCMP][ESS]
2020/02/16-12:42:32,DIRECT-1D-HP DeskJet 2600 series,ac:e2:d3:b6:ba:1e,-84dBm,2437MHz,~155.1m,false,[WPA2-PSK-CCMP][ESS][WPS]
2020/02/16-12:42:34,BPGC-NAB,08:4f:a9:30:00:00,-85dBm,2437MHz,~174.0m,false,[ESS]
2020/02/16-12:42:34,BPGC-NAB,08:4f:a9:39:68:40,-82dBm,2462MHz,~122.0m,false,[ESS]
2020/02/16-12:42:34,BPGC-NAB,08:4f:a9:39:6a:40,-51dBm,2462MHz,~3.4m,false,[ESS]
2020/02/16-12:42:34,BPGC-NAB,70:ea:1a:22:9f:e0,-87dBm,2462MHz,~216.9m,false,[ESS]
2020/02/16-12:42:34,BPGC-NAB,70:ea:1a:22:a5:a0,-84dBm,2462MHz,~153.5m,false,[ESS]
