OnePlus OnePlus ONEPLUS A5000 
Time Stamp,SSID,BSSID,Strength,Primary Frequency,Distance,802.11mc,Security
2020/02/16-12:13:14,BPGC-NAB,00:a3:8e:60:f2:a0,-84dBm,2462MHz,~153.5m,false,[ESS]
2020/02/16-12:13:14,BPGC-NAB,08:4f:a9:39:6a:40,-88dBm,2462MHz,~243.3m,false,[ESS]
2020/02/16-12:13:14,BPGC-NAB,70:ea:1a:22:87:60,-77dBm,2412MHz,~70.0m,false,[ESS]
2020/02/16-12:13:14,BPGC-NAB,70:ea:1a:22:96:00,-80dBm,2412MHz,~98.9m,false,[ESS]
2020/02/16-12:13:14,BPGC-NAB,70:ea:1a:22:97:80,-70dBm,2412MHz,~31.3m,false,[ESS]
2020/02/16-12:13:14,BPGC-NAB,70:ea:1a:22:98:20,-81dBm,2437MHz,~109.8m,false,[ESS]
2020/02/16-12:13:14,BPGC-NAB,70:ea:1a:22:9b:e0,-80dBm,2437MHz,~97.9m,false,[ESS]
2020/02/16-12:13:14,BPGC-NAB,70:ea:1a:22:9f:80,-77dBm,2462MHz,~68.6m,false,[ESS]
2020/02/16-12:13:14,BPGC-NAB,70:ea:1a:22:9f:e0,-88dBm,2462MHz,~243.3m,false,[ESS]
2020/02/16-12:13:14,BPGC-NAB,70:ea:1a:22:a0:20,-57dBm,2437MHz,~6.9m,false,[ESS]
2020/02/16-12:13:14,BPGC-NAB,70:ea:1a:22:a5:a0,-79dBm,2462MHz,~86.3m,false,[ESS]
2020/02/16-12:13:14,BPGC-NAB,70:ea:1a:22:a9:40,-83dBm,2412MHz,~139.7m,false,[ESS]
2020/02/16-12:13:14,BPGC-NAB,70:ea:1a:22:ac:00,-86dBm,2437MHz,~195.3m,false,[ESS]
2020/02/16-12:13:14,BPGC-NAB,a8:b4:56:cc:de:00,-55dBm,2462MHz,~5.4m,false,[ESS]
2020/02/16-12:13:15,BPGC-NAB,00:a3:8e:60:f2:a0,-82dBm,2462MHz,~122.0m,false,[ESS]
2020/02/16-12:13:15,BPGC-NAB,70:ea:1a:22:87:60,-79dBm,2412MHz,~88.1m,false,[ESS]
2020/02/16-12:13:15,BPGC-NAB,70:ea:1a:22:96:00,-82dBm,2412MHz,~124.5m,false,[ESS]
2020/02/16-12:13:15,BPGC-NAB,70:ea:1a:22:97:80,-69dBm,2412MHz,~27.9m,false,[ESS]
2020/02/16-12:13:15,BPGC-NAB,70:ea:1a:22:98:20,-81dBm,2437MHz,~109.8m,false,[ESS]
2020/02/16-12:13:15,BPGC-NAB,70:ea:1a:22:9b:e0,-80dBm,2437MHz,~97.9m,false,[ESS]
2020/02/16-12:13:15,BPGC-NAB,70:ea:1a:22:9f:80,-81dBm,2462MHz,~108.7m,false,[ESS]
2020/02/16-12:13:15,BPGC-NAB,70:ea:1a:22:9f:e0,-84dBm,2462MHz,~153.5m,false,[ESS]
2020/02/16-12:13:15,BPGC-NAB,70:ea:1a:22:a0:20,-55dBm,2437MHz,~5.5m,false,[ESS]
2020/02/16-12:13:15,BPGC-NAB,70:ea:1a:22:a5:a0,-77dBm,2462MHz,~68.6m,false,[ESS]
2020/02/16-12:13:15,BPGC-NAB,70:ea:1a:22:a9:40,-83dBm,2412MHz,~139.7m,false,[ESS]
2020/02/16-12:13:15,BPGC-NAB,70:ea:1a:22:ac:00,-89dBm,2437MHz,~275.8m,false,[ESS]
2020/02/16-12:13:15,BPGC-NAB,a8:b4:56:cc:de:00,-61dBm,2462MHz,~10.9m,false,[ESS]
2020/02/16-12:13:16,BPGC-NAB,70:ea:1a:22:87:60,-79dBm,2412MHz,~88.1m,false,[ESS]
2020/02/16-12:13:16,BPGC-NAB,70:ea:1a:22:96:00,-82dBm,2412MHz,~124.5m,false,[ESS]
2020/02/16-12:13:16,BPGC-NAB,70:ea:1a:22:97:80,-72dBm,2412MHz,~39.4m,false,[ESS]
2020/02/16-12:13:16,BPGC-NAB,70:ea:1a:22:98:20,-82dBm,2437MHz,~123.2m,false,[ESS]
2020/02/16-12:13:16,BPGC-NAB,70:ea:1a:22:9f:e0,-80dBm,2462MHz,~96.9m,false,[ESS]
2020/02/16-12:13:16,BPGC-NAB,70:ea:1a:22:a0:20,-54dBm,2437MHz,~4.9m,false,[ESS]
2020/02/16-12:13:16,BPGC-NAB,70:ea:1a:22:a5:a0,-78dBm,2462MHz,~77.0m,false,[ESS]
2020/02/16-12:13:16,BPGC-NAB,70:ea:1a:22:a9:40,-82dBm,2412MHz,~124.5m,false,[ESS]
2020/02/16-12:13:16,BPGC-NAB,70:ea:1a:22:ac:00,-86dBm,2437MHz,~195.3m,false,[ESS]
2020/02/16-12:13:16,BPGC-NAB,a8:b4:56:cc:de:00,-66dBm,2462MHz,~19.3m,false,[ESS]
2020/02/16-12:13:17,BPGC-NAB,70:ea:1a:22:87:60,-79dBm,2412MHz,~88.1m,false,[ESS]
2020/02/16-12:13:17,BPGC-NAB,70:ea:1a:22:96:00,-81dBm,2412MHz,~110.9m,false,[ESS]
2020/02/16-12:13:17,BPGC-NAB,70:ea:1a:22:97:80,-74dBm,2412MHz,~49.6m,false,[ESS]
2020/02/16-12:13:17,BPGC-NAB,70:ea:1a:22:98:20,-83dBm,2437MHz,~138.2m,false,[ESS]
2020/02/16-12:13:17,BPGC-NAB,70:ea:1a:22:9f:80,-81dBm,2462MHz,~108.7m,false,[ESS]
2020/02/16-12:13:17,BPGC-NAB,70:ea:1a:22:a0:20,-55dBm,2437MHz,~5.5m,false,[ESS]
2020/02/16-12:13:17,BPGC-NAB,70:ea:1a:22:a9:40,-79dBm,2412MHz,~88.1m,false,[ESS]
2020/02/16-12:13:17,BPGC-NAB,70:ea:1a:22:ac:00,-84dBm,2437MHz,~155.1m,false,[ESS]
2020/02/16-12:13:17,CRT-MIFI,8c:21:a7:e1:4e:22,-82dBm,2427MHz,~123.7m,false,[WPA-PSK-CCMP][ESS]
2020/02/16-12:13:17,BPGC-NAB,a8:b4:56:cc:de:00,-68dBm,2462MHz,~24.3m,false,[ESS]
2020/02/16-12:13:18,BPGC-NAB,00:a3:8e:60:f2:a0,-80dBm,2462MHz,~96.9m,false,[ESS]
2020/02/16-12:13:18,BPGC-NAB,70:ea:1a:22:96:00,-80dBm,2412MHz,~98.9m,false,[ESS]
2020/02/16-12:13:18,BPGC-NAB,70:ea:1a:22:97:80,-72dBm,2412MHz,~39.4m,false,[ESS]
2020/02/16-12:13:18,BPGC-NAB,70:ea:1a:22:98:20,-84dBm,2437MHz,~155.1m,false,[ESS]
2020/02/16-12:13:18,BPGC-NAB,70:ea:1a:22:9f:80,-80dBm,2462MHz,~96.9m,false,[ESS]
2020/02/16-12:13:18,BPGC-NAB,70:ea:1a:22:a0:20,-57dBm,2437MHz,~6.9m,false,[ESS]
2020/02/16-12:13:18,BPGC-NAB,70:ea:1a:22:a5:a0,-78dBm,2462MHz,~77.0m,false,[ESS]
2020/02/16-12:13:18,BPGC-NAB,70:ea:1a:22:a9:40,-76dBm,2412MHz,~62.4m,false,[ESS]
2020/02/16-12:13:18,BPGC-NAB,70:ea:1a:22:ac:00,-88dBm,2437MHz,~245.8m,false,[ESS]
