Xiaomi Xiaomi Redmi Note 5 Pro 
Time Stamp,SSID,BSSID,Strength,Primary Frequency,Distance,802.11mc,Security
2020/02/16-12:12:59,BPGC-NAB,08:4f:a9:39:68:20,-78dBm,2437MHz,~77.7m,false,[ESS]
2020/02/16-12:12:59,BPGC-NAB,70:ea:1a:22:87:60,-55dBm,2412MHz,~5.6m,false,[ESS]
2020/02/16-12:12:59,BPGC-NAB,70:ea:1a:22:92:40,-69dBm,2412MHz,~27.9m,false,[ESS]
2020/02/16-12:12:59,BPGC-NAB,70:ea:1a:22:96:00,-65dBm,2412MHz,~17.6m,false,[ESS]
2020/02/16-12:12:59,BPGC-NAB,70:ea:1a:22:96:20,-87dBm,2462MHz,~216.9m,false,[ESS]
2020/02/16-12:12:59,BPGC-NAB,70:ea:1a:22:97:80,-64dBm,2412MHz,~15.7m,false,[ESS]
2020/02/16-12:12:59,BPGC-NAB,70:ea:1a:22:98:20,-65dBm,2437MHz,~17.4m,false,[ESS]
2020/02/16-12:12:59,BPGC-NAB,70:ea:1a:22:9b:80,-71dBm,2412MHz,~35.1m,false,[ESS]
2020/02/16-12:12:59,BPGC-NAB,70:ea:1a:22:9b:e0,-74dBm,2437MHz,~49.1m,false,[ESS]
2020/02/16-12:12:59,BPGC-NAB,70:ea:1a:22:9f:e0,-69dBm,2462MHz,~27.3m,false,[ESS]
2020/02/16-12:12:59,BPGC-NAB,70:ea:1a:22:a0:20,-44dBm,2437MHz,~1.6m,false,[ESS]
2020/02/16-12:12:59,BPGC-NAB,70:ea:1a:22:a5:a0,-64dBm,2462MHz,~15.4m,false,[ESS]
2020/02/16-12:12:59,BPGC-NAB,70:ea:1a:22:a9:40,-70dBm,2412MHz,~31.3m,false,[ESS]
2020/02/16-12:12:59,BPGC-NAB,70:ea:1a:22:ac:00,-72dBm,2437MHz,~39.0m,false,[ESS]
2020/02/16-12:12:59,CRT-MIFI,8c:21:a7:e1:4e:22,-74dBm,2427MHz,~49.3m,false,[WPA-PSK-CCMP][ESS]
2020/02/16-12:12:59,BPGC-NAB,a8:b4:56:cc:de:00,-41dBm,2462MHz,~1.1m,false,[ESS]
2020/02/16-12:13:00,BPGC-NAB,08:4f:a9:39:68:20,-82dBm,2437MHz,~123.2m,false,[ESS]
2020/02/16-12:13:00,BPGC-NAB,70:ea:1a:22:87:60,-61dBm,2412MHz,~11.1m,false,[ESS]
2020/02/16-12:13:00,BPGC-NAB,70:ea:1a:22:92:40,-71dBm,2412MHz,~35.1m,false,[ESS]
2020/02/16-12:13:00,BPGC-NAB,70:ea:1a:22:96:00,-65dBm,2412MHz,~17.6m,false,[ESS]
2020/02/16-12:13:00,BPGC-NAB,70:ea:1a:22:96:20,-87dBm,2462MHz,~216.9m,false,[ESS]
2020/02/16-12:13:00,BPGC-NAB,70:ea:1a:22:97:80,-70dBm,2412MHz,~31.3m,false,[ESS]
2020/02/16-12:13:00,BPGC-NAB,70:ea:1a:22:98:20,-67dBm,2437MHz,~21.9m,false,[ESS]
2020/02/16-12:13:00,BPGC-NAB,70:ea:1a:22:9b:80,-70dBm,2412MHz,~31.3m,false,[ESS]
2020/02/16-12:13:00,BPGC-NAB,70:ea:1a:22:a0:20,-53dBm,2437MHz,~4.4m,false,[ESS]
2020/02/16-12:13:00,BPGC-NAB,70:ea:1a:22:a5:a0,-64dBm,2462MHz,~15.4m,false,[ESS]
2020/02/16-12:13:00,BPGC-NAB,70:ea:1a:22:a9:40,-65dBm,2412MHz,~17.6m,false,[ESS]
2020/02/16-12:13:00,BPGC-NAB,70:ea:1a:22:ac:00,-72dBm,2437MHz,~39.0m,false,[ESS]
2020/02/16-12:13:00,CRT-MIFI,8c:21:a7:e1:4e:22,-78dBm,2427MHz,~78.1m,false,[WPA-PSK-CCMP][ESS]
2020/02/16-12:13:00,BPGC-NAB,a8:b4:56:cc:de:00,-37dBm,2462MHz,~0.7m,false,[ESS]
2020/02/16-12:13:01,BPGC-NAB,08:4f:a9:39:68:20,-82dBm,2437MHz,~123.2m,false,[ESS]
2020/02/16-12:13:01,BPGC-NAB,70:ea:1a:22:87:60,-61dBm,2412MHz,~11.1m,false,[ESS]
