Xiaomi xiaomi Mi A1 xiaomi/tissot/tissot_sprout:9/PKQ1.180917.001/V10.0.16.0.PDHMIXM:user/release-keys
Time Stamp,SSID,BSSID,Strength,Primary Frequency,Distance,802.11mc,Security
2020/02/16-12:09:17,BPGC-NAB,00:a3:8e:60:f2:a0,-71dBm,2462MHz,~34.4m,false,[ESS]
2020/02/16-12:09:17,BPGC-NAB,08:4f:a9:39:68:20,-79dBm,2437MHz,~87.2m,false,[ESS]
2020/02/16-12:09:17,BPGC-NAB,70:ea:1a:22:87:60,-77dBm,2412MHz,~70.0m,false,[ESS]
2020/02/16-12:09:17,BPGC-NAB,70:ea:1a:22:8f:e0,-85dBm,2437MHz,~174.0m,false,[ESS]
2020/02/16-12:09:17,BPGC-NAB,70:ea:1a:22:92:40,-76dBm,2412MHz,~62.4m,false,[ESS]
2020/02/16-12:09:17,BPGC-NAB,70:ea:1a:22:96:00,-76dBm,2412MHz,~62.4m,false,[ESS]
2020/02/16-12:09:17,BPGC-NAB,70:ea:1a:22:97:80,-69dBm,2412MHz,~27.9m,false,[ESS]
2020/02/16-12:09:17,BPGC-NAB,70:ea:1a:22:98:20,-77dBm,2437MHz,~69.3m,false,[ESS]
2020/02/16-12:09:17,BPGC-NAB,70:ea:1a:22:9b:80,-79dBm,2412MHz,~88.1m,false,[ESS]
2020/02/16-12:09:17,BPGC-NAB,70:ea:1a:22:9b:e0,-81dBm,2437MHz,~109.8m,false,[ESS]
2020/02/16-12:09:17,BPGC-NAB,70:ea:1a:22:a0:20,-48dBm,2437MHz,~2.5m,false,[ESS]
2020/02/16-12:09:17,BPGC-NAB,70:ea:1a:22:a5:a0,-77dBm,2462MHz,~68.6m,false,[ESS]
2020/02/16-12:09:17,BPGC-NAB,70:ea:1a:22:a9:40,-67dBm,2412MHz,~22.1m,false,[ESS]
2020/02/16-12:09:17,BPGC-NAB,70:ea:1a:22:ac:00,-80dBm,2437MHz,~97.9m,false,[ESS]
2020/02/16-12:09:17,CRT-MIFI,8c:21:a7:e1:4e:22,-81dBm,2427MHz,~110.3m,false,[WPA-PSK-CCMP][ESS]
2020/02/16-12:09:17,BPGC-NAB,a8:b4:56:cc:de:00,-69dBm,2462MHz,~27.3m,false,[ESS]
2020/02/16-12:09:18,BPGC-NAB,00:a3:8e:60:f2:a0,-75dBm,2462MHz,~54.5m,false,[ESS]
2020/02/16-12:09:18,BPGC-NAB,08:4f:a9:10:4b:80,-88dBm,2462MHz,~243.3m,false,[ESS]
2020/02/16-12:09:18,BPGC-NAB,08:4f:a9:39:68:20,-82dBm,2437MHz,~123.2m,false,[ESS]
2020/02/16-12:09:18,BPGC-NAB,08:4f:a9:39:6a:40,-87dBm,2462MHz,~216.9m,false,[ESS]
2020/02/16-12:09:18,BPGC-NAB,70:ea:1a:22:87:60,-76dBm,2412MHz,~62.4m,false,[ESS]
2020/02/16-12:09:18,BPGC-NAB,70:ea:1a:22:8f:e0,-85dBm,2437MHz,~174.0m,false,[ESS]
2020/02/16-12:09:18,BPGC-NAB,70:ea:1a:22:92:40,-76dBm,2412MHz,~62.4m,false,[ESS]
2020/02/16-12:09:18,BPGC-NAB,70:ea:1a:22:96:00,-78dBm,2412MHz,~78.5m,false,[ESS]
2020/02/16-12:09:18,BPGC-NAB,70:ea:1a:22:97:80,-66dBm,2412MHz,~19.7m,false,[ESS]
2020/02/16-12:09:18,BPGC-NAB,70:ea:1a:22:98:20,-75dBm,2437MHz,~55.0m,false,[ESS]
2020/02/16-12:09:18,BPGC-NAB,70:ea:1a:22:9b:80,-79dBm,2412MHz,~88.1m,false,[ESS]
2020/02/16-12:09:18,BPGC-NAB,70:ea:1a:22:9b:e0,-83dBm,2437MHz,~138.2m,false,[ESS]
2020/02/16-12:09:18,BPGC-NAB,70:ea:1a:22:a0:20,-54dBm,2437MHz,~4.9m,false,[ESS]
2020/02/16-12:09:18,BPGC-NAB,70:ea:1a:22:a5:a0,-77dBm,2462MHz,~68.6m,false,[ESS]
2020/02/16-12:09:18,BPGC-NAB,70:ea:1a:22:a9:40,-74dBm,2412MHz,~49.6m,false,[ESS]
2020/02/16-12:09:18,BPGC-NAB,70:ea:1a:22:ac:00,-80dBm,2437MHz,~97.9m,false,[ESS]
2020/02/16-12:09:18,CRT-MIFI,8c:21:a7:e1:4e:22,-79dBm,2427MHz,~87.6m,false,[WPA-PSK-CCMP][ESS]
2020/02/16-12:09:18,BPGC-NAB,a8:b4:56:cc:de:00,-66dBm,2462MHz,~19.3m,false,[ESS]
2020/02/16-12:09:19,BPGC-NAB,00:a3:8e:60:f2:a0,-79dBm,2462MHz,~86.3m,false,[ESS]
2020/02/16-12:09:19,BPGC-NAB,08:4f:a9:10:4b:80,-88dBm,2462MHz,~243.3m,false,[ESS]
2020/02/16-12:09:19,BPGC-NAB,08:4f:a9:39:68:20,-85dBm,2437MHz,~174.0m,false,[ESS]
2020/02/16-12:09:19,BPGC-NAB,08:4f:a9:39:6a:40,-87dBm,2462MHz,~216.9m,false,[ESS]
2020/02/16-12:09:19,BPGC-NAB,70:ea:1a:22:87:60,-70dBm,2412MHz,~31.3m,false,[ESS]
2020/02/16-12:09:19,BPGC-NAB,70:ea:1a:22:96:00,-75dBm,2412MHz,~55.6m,false,[ESS]
2020/02/16-12:09:19,BPGC-NAB,70:ea:1a:22:97:80,-61dBm,2412MHz,~11.1m,false,[ESS]
2020/02/16-12:09:19,BPGC-NAB,70:ea:1a:22:98:20,-69dBm,2437MHz,~27.6m,false,[ESS]
2020/02/16-12:09:19,BPGC-NAB,70:ea:1a:22:9b:e0,-85dBm,2437MHz,~174.0m,false,[ESS]
2020/02/16-12:09:19,BPGC-NAB,70:ea:1a:22:a0:20,-60dBm,2437MHz,~9.8m,false,[ESS]
2020/02/16-12:09:19,BPGC-NAB,70:ea:1a:22:a5:a0,-78dBm,2462MHz,~77.0m,false,[ESS]
