OnePlus OnePlus ONEPLUS A5000 
Time Stamp,SSID,BSSID,Strength,Primary Frequency,Distance,802.11mc,Security
2020/02/16-12:32:05,BPGC-NAB,00:a3:8e:60:f2:a0,-72dBm,2462MHz,~38.6m,false,[ESS]
2020/02/16-12:32:05,BPGC-NAB,08:4f:a9:10:4b:80,-81dBm,2462MHz,~108.7m,false,[ESS]
2020/02/16-12:32:05,BPGC-NAB,68:3b:78:e9:c0:e0,-81dBm,2462MHz,~108.7m,false,[ESS]
2020/02/16-12:32:05,BPGC-NAB,70:ea:1a:22:8f:e0,-81dBm,2437MHz,~109.8m,false,[ESS]
2020/02/16-12:32:05,BPGC-NAB,70:ea:1a:22:98:20,-89dBm,2437MHz,~275.8m,false,[ESS]
2020/02/16-12:32:05,BPGC-NAB,70:ea:1a:22:9f:20,-79dBm,2462MHz,~86.3m,false,[ESS]
2020/02/16-12:32:05,BPGC-NAB,70:ea:1a:22:a5:a0,-65dBm,2462MHz,~17.2m,false,[ESS]
2020/02/16-12:32:05,BPGC-NAB,70:ea:1a:22:ac:00,-58dBm,2437MHz,~7.8m,false,[ESS]
2020/02/16-12:32:06,BPGC-NAB,00:a3:8e:60:f2:a0,-76dBm,2462MHz,~61.1m,false,[ESS]
2020/02/16-12:32:06,BPGC-NAB,08:4f:a9:10:4b:80,-77dBm,2462MHz,~68.6m,false,[ESS]
2020/02/16-12:32:06,BPGC-NAB,70:ea:1a:22:8f:e0,-78dBm,2437MHz,~77.7m,false,[ESS]
2020/02/16-12:32:06,BPGC-NAB,70:ea:1a:22:96:00,-80dBm,2412MHz,~98.9m,false,[ESS]
2020/02/16-12:32:06,BPGC-NAB,70:ea:1a:22:97:80,-71dBm,2412MHz,~35.1m,false,[ESS]
2020/02/16-12:32:06,BPGC-NAB,70:ea:1a:22:98:20,-84dBm,2437MHz,~155.1m,false,[ESS]
2020/02/16-12:32:06,BPGC-NAB,70:ea:1a:22:9f:20,-81dBm,2462MHz,~108.7m,false,[ESS]
2020/02/16-12:32:06,BPGC-NAB,70:ea:1a:22:a5:a0,-69dBm,2462MHz,~27.3m,false,[ESS]
2020/02/16-12:32:06,BPGC-NAB,70:ea:1a:22:a9:40,-69dBm,2412MHz,~27.9m,false,[ESS]
2020/02/16-12:32:06,BPGC-NAB,70:ea:1a:22:ac:00,-59dBm,2437MHz,~8.7m,false,[ESS]
2020/02/16-12:32:07,BPGC-NAB,00:a3:8e:60:f2:a0,-73dBm,2462MHz,~43.3m,false,[ESS]
2020/02/16-12:32:07,BPGC-NAB,08:4f:a9:10:4b:80,-76dBm,2462MHz,~61.1m,false,[ESS]
2020/02/16-12:32:07,BPGC-NAB,68:3b:78:e9:c0:e0,-82dBm,2462MHz,~122.0m,false,[ESS]
2020/02/16-12:32:07,BPGC-NAB,70:ea:1a:22:8f:e0,-76dBm,2437MHz,~61.8m,false,[ESS]
2020/02/16-12:32:07,BPGC-NAB,70:ea:1a:22:96:00,-80dBm,2412MHz,~98.9m,false,[ESS]
2020/02/16-12:32:07,BPGC-NAB,70:ea:1a:22:97:80,-71dBm,2412MHz,~35.1m,false,[ESS]
2020/02/16-12:32:07,BPGC-NAB,70:ea:1a:22:98:20,-84dBm,2437MHz,~155.1m,false,[ESS]
2020/02/16-12:32:07,BPGC-NAB,70:ea:1a:22:9f:20,-82dBm,2462MHz,~122.0m,false,[ESS]
2020/02/16-12:32:07,BPGC-NAB,70:ea:1a:22:a5:a0,-71dBm,2462MHz,~34.4m,false,[ESS]
2020/02/16-12:32:07,BPGC-NAB,70:ea:1a:22:a9:40,-69dBm,2412MHz,~27.9m,false,[ESS]
2020/02/16-12:32:07,BPGC-NAB,70:ea:1a:22:ac:00,-59dBm,2437MHz,~8.7m,false,[ESS]
2020/02/16-12:32:08,BPGC-NAB,00:a3:8e:60:f2:a0,-71dBm,2462MHz,~34.4m,false,[ESS]
2020/02/16-12:32:08,BPGC-NAB,08:4f:a9:10:4b:80,-76dBm,2462MHz,~61.1m,false,[ESS]
2020/02/16-12:32:08,BPGC-NAB,08:4f:a9:43:38:a0,-87dBm,2437MHz,~219.1m,false,[ESS]
2020/02/16-12:32:08,BPGC-NAB,68:3b:78:e9:c0:e0,-82dBm,2462MHz,~122.0m,false,[ESS]
2020/02/16-12:32:08,BPGC-NAB,70:ea:1a:22:8f:e0,-76dBm,2437MHz,~61.8m,false,[ESS]
2020/02/16-12:32:08,BPGC-NAB,70:ea:1a:22:98:20,-83dBm,2437MHz,~138.2m,false,[ESS]
2020/02/16-12:32:08,BPGC-NAB,70:ea:1a:22:a5:a0,-72dBm,2462MHz,~38.6m,false,[ESS]
2020/02/16-12:32:08,BPGC-NAB,70:ea:1a:22:a9:a0,-89dBm,2437MHz,~275.8m,false,[ESS]
2020/02/16-12:32:08,BPGC-NAB,70:ea:1a:22:ac:00,-58dBm,2437MHz,~7.8m,false,[ESS]
2020/02/16-12:32:09,BPGC-NAB,00:a3:8e:60:f2:a0,-71dBm,2462MHz,~34.4m,false,[ESS]
2020/02/16-12:32:09,BPGC-NAB,08:4f:a9:43:38:a0,-87dBm,2437MHz,~219.1m,false,[ESS]
2020/02/16-12:32:09,BPGC-NAB,70:ea:1a:22:8f:e0,-77dBm,2437MHz,~69.3m,false,[ESS]
2020/02/16-12:32:09,BPGC-NAB,70:ea:1a:22:96:00,-80dBm,2412MHz,~98.9m,false,[ESS]
2020/02/16-12:32:09,BPGC-NAB,70:ea:1a:22:97:80,-65dBm,2412MHz,~17.6m,false,[ESS]
2020/02/16-12:32:09,BPGC-NAB,70:ea:1a:22:98:20,-84dBm,2437MHz,~155.1m,false,[ESS]
2020/02/16-12:32:09,BPGC-NAB,70:ea:1a:22:9f:20,-80dBm,2462MHz,~96.9m,false,[ESS]
2020/02/16-12:32:09,BPGC-NAB,70:ea:1a:22:a5:a0,-70dBm,2462MHz,~30.6m,false,[ESS]
2020/02/16-12:32:09,BPGC-NAB,70:ea:1a:22:a9:40,-74dBm,2412MHz,~49.6m,false,[ESS]
2020/02/16-12:32:09,BPGC-NAB,70:ea:1a:22:a9:a0,-89dBm,2437MHz,~275.8m,false,[ESS]
2020/02/16-12:32:09,BPGC-NAB,70:ea:1a:22:ac:00,-56dBm,2437MHz,~6.2m,false,[ESS]
2020/02/16-12:32:10,BPGC-NAB,00:a3:8e:60:f2:a0,-73dBm,2462MHz,~43.3m,false,[ESS]
2020/02/16-12:32:10,BPGC-NAB,68:3b:78:e9:c0:e0,-75dBm,2462MHz,~54.5m,false,[ESS]
2020/02/16-12:32:10,BPGC-NAB,70:ea:1a:22:8f:e0,-77dBm,2437MHz,~69.3m,false,[ESS]
2020/02/16-12:32:10,BPGC-NAB,70:ea:1a:22:96:00,-80dBm,2412MHz,~98.9m,false,[ESS]
2020/02/16-12:32:10,BPGC-NAB,70:ea:1a:22:97:80,-71dBm,2412MHz,~35.1m,false,[ESS]
