Xiaomi Xiaomi Redmi Note 5 Pro 
Time Stamp,SSID,BSSID,Strength,Primary Frequency,Distance,802.11mc,Security
2020/02/16-12:31:54,BPGC-NAB,00:a3:8e:60:f2:a0,-59dBm,2462MHz,~8.6m,false,[ESS]
2020/02/16-12:31:54,BPGC-NAB,08:4f:a9:2d:77:40,-70dBm,2412MHz,~31.3m,false,[ESS]
2020/02/16-12:31:54,BPGC-NAB,70:ea:1a:22:96:00,-58dBm,2412MHz,~7.9m,false,[ESS]
2020/02/16-12:31:54,BPGC-NAB,70:ea:1a:22:97:80,-65dBm,2412MHz,~17.6m,false,[ESS]
2020/02/16-12:31:54,BPGC-NAB,70:ea:1a:22:98:20,-64dBm,2437MHz,~15.5m,false,[ESS]
2020/02/16-12:31:54,BPGC-NAB,70:ea:1a:22:9f:20,-71dBm,2462MHz,~34.4m,false,[ESS]
2020/02/16-12:31:54,BPGC-NAB,70:ea:1a:22:a5:a0,-61dBm,2462MHz,~10.9m,false,[ESS]
2020/02/16-12:31:54,BPGC-NAB,70:ea:1a:22:a9:40,-74dBm,2412MHz,~49.6m,false,[ESS]
2020/02/16-12:31:54,BPGC-NAB,70:ea:1a:22:ac:00,-44dBm,2437MHz,~1.6m,false,[ESS]
2020/02/16-12:31:54,sks,88:63:df:bb:74:a5,-85dBm,2462MHz,~172.3m,false,[WPA2-PSK-CCMP][RSN-PSK-CCMP][ESS]
2020/02/16-12:31:54,BPGC-NAB,a8:b4:56:cc:de:00,-72dBm,2462MHz,~38.6m,false,[ESS]
2020/02/16-12:31:55,BPGC-NAB,00:a3:8e:60:f2:a0,-57dBm,2462MHz,~6.9m,false,[ESS]
2020/02/16-12:31:55,BPGC-NAB,70:ea:1a:22:96:00,-58dBm,2412MHz,~7.9m,false,[ESS]
2020/02/16-12:31:55,BPGC-NAB,70:ea:1a:22:97:80,-65dBm,2412MHz,~17.6m,false,[ESS]
2020/02/16-12:31:55,BPGC-NAB,70:ea:1a:22:98:20,-64dBm,2437MHz,~15.5m,false,[ESS]
2020/02/16-12:31:55,BPGC-NAB,70:ea:1a:22:9f:20,-71dBm,2462MHz,~34.4m,false,[ESS]
