Xiaomi xiaomi Mi A1 xiaomi/tissot/tissot_sprout:9/PKQ1.180917.001/V10.0.16.0.PDHMIXM:user/release-keys
Time Stamp,SSID,BSSID,Strength,Primary Frequency,Distance,802.11mc,Security
2020/02/16-12:31:50,BPGC-NAB,00:a3:8e:60:f2:a0,-68dBm,2462MHz,~24.3m,false,[ESS]
2020/02/16-12:31:50,BPGC-NAB,08:4f:a9:2d:77:40,-77dBm,2412MHz,~70.0m,false,[ESS]
2020/02/16-12:31:50,BPGC-NAB,08:4f:a9:43:38:a0,-72dBm,2437MHz,~39.0m,false,[ESS]
2020/02/16-12:31:50,BPGC-NAB,68:3b:78:e9:c0:e0,-73dBm,2462MHz,~43.3m,false,[ESS]
2020/02/16-12:31:50,BPGC-NAB,70:ea:1a:22:8f:e0,-76dBm,2437MHz,~61.8m,false,[ESS]
2020/02/16-12:31:50,BPGC-NAB,70:ea:1a:22:ac:00,-80dBm,2437MHz,~97.9m,false,[ESS]
2020/02/16-12:31:51,BPGC-NAB,00:a3:8e:60:f2:a0,-59dBm,2462MHz,~8.6m,false,[ESS]
2020/02/16-12:31:51,BPGC-NAB,08:4f:a9:10:4b:80,-76dBm,2462MHz,~61.1m,false,[ESS]
2020/02/16-12:31:51,BPGC-NAB,08:4f:a9:2d:77:40,-80dBm,2412MHz,~98.9m,false,[ESS]
2020/02/16-12:31:51,BPGC-NAB,08:4f:a9:43:38:a0,-72dBm,2437MHz,~39.0m,false,[ESS]
2020/02/16-12:31:51,BPGC-NAB,68:3b:78:e9:c0:e0,-72dBm,2462MHz,~38.6m,false,[ESS]
2020/02/16-12:31:51,BPGC-NAB,70:ea:1a:22:8f:e0,-77dBm,2437MHz,~69.3m,false,[ESS]
2020/02/16-12:31:51,BPGC-NAB,70:ea:1a:22:96:00,-82dBm,2412MHz,~124.5m,false,[ESS]
2020/02/16-12:31:51,BPGC-NAB,70:ea:1a:22:97:80,-68dBm,2412MHz,~24.8m,false,[ESS]
2020/02/16-12:31:51,BPGC-NAB,70:ea:1a:22:98:20,-79dBm,2437MHz,~87.2m,false,[ESS]
2020/02/16-12:31:51,BPGC-NAB,70:ea:1a:22:9f:20,-81dBm,2462MHz,~108.7m,false,[ESS]
2020/02/16-12:31:51,BPGC-NAB,70:ea:1a:22:a0:20,-83dBm,2437MHz,~138.2m,false,[ESS]
2020/02/16-12:31:51,BPGC-NAB,70:ea:1a:22:a5:a0,-78dBm,2462MHz,~77.0m,false,[ESS]
2020/02/16-12:31:51,BPGC-NAB,70:ea:1a:22:a9:40,-73dBm,2412MHz,~44.2m,false,[ESS]
2020/02/16-12:31:51,BPGC-NAB,70:ea:1a:22:a9:a0,-88dBm,2437MHz,~245.8m,false,[ESS]
2020/02/16-12:31:51,BPGC-NAB,70:ea:1a:22:ac:00,-60dBm,2437MHz,~9.8m,false,[ESS]
2020/02/16-12:31:51,sks,88:63:df:bb:74:a5,-91dBm,2462MHz,~343.7m,false,[WPA2-PSK-CCMP][ESS]
2020/02/16-12:31:51,BPGC-NAB,a8:b4:56:cc:de:00,-82dBm,2462MHz,~122.0m,false,[ESS]
2020/02/16-12:31:52,BPGC-NAB,00:a3:8e:60:f2:a0,-52dBm,2462MHz,~3.9m,false,[ESS]
2020/02/16-12:31:52,BPGC-NAB,08:4f:a9:10:4b:80,-76dBm,2462MHz,~61.1m,false,[ESS]
2020/02/16-12:31:52,BPGC-NAB,08:4f:a9:2d:77:40,-81dBm,2412MHz,~110.9m,false,[ESS]
2020/02/16-12:31:52,BPGC-NAB,70:ea:1a:22:8f:e0,-78dBm,2437MHz,~77.7m,false,[ESS]
2020/02/16-12:31:52,BPGC-NAB,70:ea:1a:22:96:00,-82dBm,2412MHz,~124.5m,false,[ESS]
2020/02/16-12:31:52,BPGC-NAB,70:ea:1a:22:97:80,-68dBm,2412MHz,~24.8m,false,[ESS]
2020/02/16-12:31:52,BPGC-NAB,70:ea:1a:22:98:20,-79dBm,2437MHz,~87.2m,false,[ESS]
2020/02/16-12:31:52,BPGC-NAB,70:ea:1a:22:9f:20,-81dBm,2462MHz,~108.7m,false,[ESS]
2020/02/16-12:31:52,BPGC-NAB,70:ea:1a:22:a0:20,-83dBm,2437MHz,~138.2m,false,[ESS]
2020/02/16-12:31:52,BPGC-NAB,70:ea:1a:22:a5:a0,-78dBm,2462MHz,~77.0m,false,[ESS]
2020/02/16-12:31:52,BPGC-NAB,70:ea:1a:22:a9:40,-73dBm,2412MHz,~44.2m,false,[ESS]
2020/02/16-12:31:52,BPGC-NAB,70:ea:1a:22:a9:a0,-88dBm,2437MHz,~245.8m,false,[ESS]
2020/02/16-12:31:52,BPGC-NAB,70:ea:1a:22:ac:00,-43dBm,2437MHz,~1.4m,false,[ESS]
2020/02/16-12:31:52,sks,88:63:df:bb:74:a5,-91dBm,2462MHz,~343.7m,false,[WPA2-PSK-CCMP][ESS]
2020/02/16-12:31:52,BPGC-NAB,a8:b4:56:cc:de:00,-82dBm,2462MHz,~122.0m,false,[ESS]
2020/02/16-12:31:53,BPGC-NAB,00:a3:8e:60:f2:a0,-52dBm,2462MHz,~3.9m,false,[ESS]
2020/02/16-12:31:53,BPGC-NAB,08:4f:a9:10:4b:80,-76dBm,2462MHz,~61.1m,false,[ESS]
2020/02/16-12:31:53,BPGC-NAB,08:4f:a9:2d:77:40,-81dBm,2412MHz,~110.9m,false,[ESS]
2020/02/16-12:31:53,BPGC-NAB,70:ea:1a:22:8f:e0,-78dBm,2437MHz,~77.7m,false,[ESS]
2020/02/16-12:31:53,BPGC-NAB,70:ea:1a:22:96:00,-82dBm,2412MHz,~124.5m,false,[ESS]
2020/02/16-12:31:53,BPGC-NAB,70:ea:1a:22:97:80,-68dBm,2412MHz,~24.8m,false,[ESS]
2020/02/16-12:31:53,BPGC-NAB,70:ea:1a:22:98:20,-79dBm,2437MHz,~87.2m,false,[ESS]
2020/02/16-12:31:53,BPGC-NAB,70:ea:1a:22:9f:20,-81dBm,2462MHz,~108.7m,false,[ESS]
2020/02/16-12:31:53,BPGC-NAB,70:ea:1a:22:a0:20,-83dBm,2437MHz,~138.2m,false,[ESS]
2020/02/16-12:31:53,BPGC-NAB,70:ea:1a:22:a5:a0,-78dBm,2462MHz,~77.0m,false,[ESS]
2020/02/16-12:31:53,BPGC-NAB,70:ea:1a:22:a9:40,-73dBm,2412MHz,~44.2m,false,[ESS]
2020/02/16-12:31:53,BPGC-NAB,70:ea:1a:22:a9:a0,-88dBm,2437MHz,~245.8m,false,[ESS]
2020/02/16-12:31:53,BPGC-NAB,70:ea:1a:22:ac:00,-43dBm,2437MHz,~1.4m,false,[ESS]
2020/02/16-12:31:53,sks,88:63:df:bb:74:a5,-91dBm,2462MHz,~343.7m,false,[WPA2-PSK-CCMP][ESS]
2020/02/16-12:31:53,BPGC-NAB,a8:b4:56:cc:de:00,-82dBm,2462MHz,~122.0m,false,[ESS]
2020/02/16-12:31:54,BPGC-NAB,00:a3:8e:60:f2:a0,-52dBm,2462MHz,~3.9m,false,[ESS]
2020/02/16-12:31:54,BPGC-NAB,08:4f:a9:10:4b:80,-76dBm,2462MHz,~61.1m,false,[ESS]
2020/02/16-12:31:54,BPGC-NAB,08:4f:a9:2d:77:40,-81dBm,2412MHz,~110.9m,false,[ESS]
2020/02/16-12:31:54,BPGC-NAB,70:ea:1a:22:8f:e0,-78dBm,2437MHz,~77.7m,false,[ESS]
2020/02/16-12:31:54,BPGC-NAB,70:ea:1a:22:96:00,-82dBm,2412MHz,~124.5m,false,[ESS]
2020/02/16-12:31:54,BPGC-NAB,70:ea:1a:22:97:80,-68dBm,2412MHz,~24.8m,false,[ESS]
2020/02/16-12:31:54,BPGC-NAB,70:ea:1a:22:98:20,-79dBm,2437MHz,~87.2m,false,[ESS]
2020/02/16-12:31:54,BPGC-NAB,70:ea:1a:22:9f:20,-81dBm,2462MHz,~108.7m,false,[ESS]
2020/02/16-12:31:54,BPGC-NAB,70:ea:1a:22:a0:20,-83dBm,2437MHz,~138.2m,false,[ESS]
2020/02/16-12:31:54,BPGC-NAB,70:ea:1a:22:a5:a0,-78dBm,2462MHz,~77.0m,false,[ESS]
2020/02/16-12:31:54,BPGC-NAB,70:ea:1a:22:a9:40,-73dBm,2412MHz,~44.2m,false,[ESS]
2020/02/16-12:31:54,BPGC-NAB,70:ea:1a:22:a9:a0,-88dBm,2437MHz,~245.8m,false,[ESS]
2020/02/16-12:31:54,BPGC-NAB,70:ea:1a:22:ac:00,-43dBm,2437MHz,~1.4m,false,[ESS]
2020/02/16-12:31:54,sks,88:63:df:bb:74:a5,-91dBm,2462MHz,~343.7m,false,[WPA2-PSK-CCMP][ESS]
2020/02/16-12:31:54,BPGC-NAB,a8:b4:56:cc:de:00,-82dBm,2462MHz,~122.0m,false,[ESS]
2020/02/16-12:31:55,BPGC-NAB,00:a3:8e:60:f2:a0,-52dBm,2462MHz,~3.9m,false,[ESS]
2020/02/16-12:31:55,BPGC-NAB,08:4f:a9:10:4b:80,-76dBm,2462MHz,~61.1m,false,[ESS]
2020/02/16-12:31:55,BPGC-NAB,08:4f:a9:2d:77:40,-81dBm,2412MHz,~110.9m,false,[ESS]
2020/02/16-12:31:55,BPGC-NAB,70:ea:1a:22:8f:e0,-78dBm,2437MHz,~77.7m,false,[ESS]
2020/02/16-12:31:55,BPGC-NAB,70:ea:1a:22:96:00,-82dBm,2412MHz,~124.5m,false,[ESS]
2020/02/16-12:31:55,BPGC-NAB,70:ea:1a:22:97:80,-68dBm,2412MHz,~24.8m,false,[ESS]
2020/02/16-12:31:55,BPGC-NAB,70:ea:1a:22:98:20,-79dBm,2437MHz,~87.2m,false,[ESS]
2020/02/16-12:31:55,BPGC-NAB,70:ea:1a:22:9f:20,-81dBm,2462MHz,~108.7m,false,[ESS]
2020/02/16-12:31:55,BPGC-NAB,70:ea:1a:22:a0:20,-83dBm,2437MHz,~138.2m,false,[ESS]
2020/02/16-12:31:55,BPGC-NAB,70:ea:1a:22:a5:a0,-78dBm,2462MHz,~77.0m,false,[ESS]
2020/02/16-12:31:55,BPGC-NAB,70:ea:1a:22:a9:40,-73dBm,2412MHz,~44.2m,false,[ESS]
2020/02/16-12:31:55,BPGC-NAB,70:ea:1a:22:a9:a0,-88dBm,2437MHz,~245.8m,false,[ESS]
2020/02/16-12:31:55,BPGC-NAB,70:ea:1a:22:ac:00,-43dBm,2437MHz,~1.4m,false,[ESS]
2020/02/16-12:31:55,sks,88:63:df:bb:74:a5,-91dBm,2462MHz,~343.7m,false,[WPA2-PSK-CCMP][ESS]
2020/02/16-12:31:55,BPGC-NAB,a8:b4:56:cc:de:00,-82dBm,2462MHz,~122.0m,false,[ESS]
2020/02/16-12:31:56,BPGC-NAB,00:a3:8e:60:f2:a0,-52dBm,2462MHz,~3.9m,false,[ESS]
2020/02/16-12:31:56,BPGC-NAB,08:4f:a9:10:4b:80,-76dBm,2462MHz,~61.1m,false,[ESS]
2020/02/16-12:31:56,BPGC-NAB,08:4f:a9:2d:77:40,-81dBm,2412MHz,~110.9m,false,[ESS]
2020/02/16-12:31:56,BPGC-NAB,70:ea:1a:22:8f:e0,-78dBm,2437MHz,~77.7m,false,[ESS]
2020/02/16-12:31:56,BPGC-NAB,70:ea:1a:22:96:00,-82dBm,2412MHz,~124.5m,false,[ESS]
2020/02/16-12:31:56,BPGC-NAB,70:ea:1a:22:97:80,-68dBm,2412MHz,~24.8m,false,[ESS]
2020/02/16-12:31:56,BPGC-NAB,70:ea:1a:22:98:20,-79dBm,2437MHz,~87.2m,false,[ESS]
2020/02/16-12:31:56,BPGC-NAB,70:ea:1a:22:9f:20,-81dBm,2462MHz,~108.7m,false,[ESS]
