OnePlus OnePlus ONEPLUS A5000 
Time Stamp,SSID,BSSID,Strength,Primary Frequency,Distance,802.11mc,Security
2020/02/16-12:26:03,BPGC-NAB,00:a3:8e:60:f2:a0,-71dBm,2462MHz,~34.4m,false,[ESS]
2020/02/16-12:26:03,BPGC-NAB,08:4f:a9:10:4b:80,-62dBm,2462MHz,~12.2m,false,[ESS]
2020/02/16-12:26:03,BPGC-NAB,08:4f:a9:2d:8a:40,-72dBm,2462MHz,~38.6m,false,[ESS]
2020/02/16-12:26:03,BPGC-NAB,08:4f:a9:2d:8a:a0,-56dBm,2412MHz,~6.2m,false,[ESS]
2020/02/16-12:26:03,BPGC-NAB,08:4f:a9:39:68:20,-68dBm,2437MHz,~24.6m,false,[ESS]
2020/02/16-12:26:03,BPGC-NAB,70:ea:1a:22:8f:e0,-77dBm,2437MHz,~69.3m,false,[ESS]
2020/02/16-12:26:03,BPGC-NAB,70:ea:1a:22:98:20,-78dBm,2437MHz,~77.7m,false,[ESS]
2020/02/16-12:26:03,BPGC-NAB,70:ea:1a:22:9f:20,-80dBm,2462MHz,~96.9m,false,[ESS]
2020/02/16-12:26:03,BPGC-NAB,70:ea:1a:22:a0:20,-78dBm,2437MHz,~77.7m,false,[ESS]
2020/02/16-12:26:03,BPGC-NAB,70:ea:1a:22:a5:a0,-73dBm,2462MHz,~43.3m,false,[ESS]
2020/02/16-12:26:03,BPGC-NAB,70:ea:1a:22:a9:a0,-63dBm,2437MHz,~13.8m,false,[ESS]
2020/02/16-12:26:03,BPGC-NAB,70:ea:1a:22:ac:00,-77dBm,2437MHz,~69.3m,false,[ESS]
2020/02/16-12:26:03,CRT-MIFI,8c:21:a7:e1:4e:22,-82dBm,2427MHz,~123.7m,false,[WPA-PSK-CCMP][ESS]
2020/02/16-12:26:03,BPGC-NAB,a8:b4:56:cc:de:00,-71dBm,2462MHz,~34.4m,false,[ESS]
2020/02/16-12:26:04,BPGC-NAB,00:a3:8e:60:f2:a0,-70dBm,2462MHz,~30.6m,false,[ESS]
2020/02/16-12:26:04,BPGC-NAB,08:4f:a9:10:4b:80,-59dBm,2462MHz,~8.6m,false,[ESS]
2020/02/16-12:26:04,BPGC-NAB,70:ea:1a:22:8f:e0,-75dBm,2437MHz,~55.0m,false,[ESS]
2020/02/16-12:26:04,BPGC-NAB,70:ea:1a:22:96:00,-62dBm,2412MHz,~12.4m,false,[ESS]
2020/02/16-12:26:04,BPGC-NAB,70:ea:1a:22:97:80,-74dBm,2412MHz,~49.6m,false,[ESS]
2020/02/16-12:26:04,BPGC-NAB,70:ea:1a:22:98:20,-70dBm,2437MHz,~30.9m,false,[ESS]
2020/02/16-12:26:04,BPGC-NAB,70:ea:1a:22:a0:20,-78dBm,2437MHz,~77.7m,false,[ESS]
2020/02/16-12:26:04,BPGC-NAB,70:ea:1a:22:a5:a0,-76dBm,2462MHz,~61.1m,false,[ESS]
2020/02/16-12:26:04,BPGC-NAB,70:ea:1a:22:a9:40,-75dBm,2412MHz,~55.6m,false,[ESS]
2020/02/16-12:26:04,BPGC-NAB,70:ea:1a:22:a9:a0,-84dBm,2437MHz,~155.1m,false,[ESS]
2020/02/16-12:26:04,BPGC-NAB,70:ea:1a:22:ac:00,-79dBm,2437MHz,~87.2m,false,[ESS]
