Xiaomi Xiaomi Redmi Note 5 Pro 
Time Stamp,SSID,BSSID,Strength,Primary Frequency,Distance,802.11mc,Security
2020/02/16-12:25:54,BPGC-NAB,00:a3:8e:4e:29:a0,-70dBm,2412MHz,~31.3m,false,[ESS]
2020/02/16-12:25:54,BPGC-NAB,00:a3:8e:60:f2:a0,-70dBm,2462MHz,~30.6m,false,[ESS]
2020/02/16-12:25:54,BPGC-NAB,08:4f:a9:10:4b:80,-51dBm,2462MHz,~3.4m,false,[ESS]
2020/02/16-12:25:54,BPGC-NAB,08:4f:a9:2d:8a:40,-58dBm,2462MHz,~7.7m,false,[ESS]
2020/02/16-12:25:54,BPGC-NAB,08:4f:a9:2d:8a:a0,-36dBm,2412MHz,~0.6m,false,[ESS]
2020/02/16-12:25:54,BPGC-NAB,08:4f:a9:39:68:20,-72dBm,2437MHz,~39.0m,false,[ESS]
2020/02/16-12:25:54,BPGC-WIFI,40:01:7a:01:b8:80,-79dBm,2412MHz,~88.1m,false,[ESS]
2020/02/16-12:25:54,BPGC-LT,40:01:7a:01:b8:81,-78dBm,2412MHz,~78.5m,false,[WPA2-PSK-CCMP][RSN-PSK-CCMP][WPA-PSK-TKIP][ESS]
2020/02/16-12:25:54,BPGC-LT,40:01:7a:01:b8:8e,-81dBm,5280MHz,~50.7m,false,[WPA2-PSK-CCMP][RSN-PSK-CCMP][WPA-PSK-TKIP][ESS]
2020/02/16-12:25:54,BPGC-LT,40:01:7a:af:d3:61,-73dBm,2462MHz,~43.3m,false,[WPA2-PSK-CCMP][RSN-PSK-CCMP][WPA-PSK-TKIP][ESS]
2020/02/16-12:25:54,BPGC-LT,40:01:7a:af:d3:6e,-81dBm,5320MHz,~50.3m,false,[WPA2-PSK-CCMP][RSN-PSK-CCMP][WPA-PSK-TKIP][ESS]
2020/02/16-12:25:54,BPGC-WIFI,40:01:7a:af:d3:6f,-83dBm,5320MHz,~63.3m,false,[ESS]
2020/02/16-12:25:54,BPGC-NAB,70:ea:1a:22:8f:e0,-53dBm,2437MHz,~4.4m,false,[ESS]
2020/02/16-12:25:54,BPGC-NAB,70:ea:1a:22:96:00,-49dBm,2412MHz,~2.8m,false,[ESS]
