Xiaomi xiaomi Mi A1 xiaomi/tissot/tissot_sprout:9/PKQ1.180917.001/V10.0.16.0.PDHMIXM:user/release-keys
Time Stamp,SSID,BSSID,Strength,Primary Frequency,Distance,802.11mc,Security
2020/02/16-12:25:53,BPGC-NAB,00:a3:8e:4e:29:a0,-81dBm,2412MHz,~110.9m,false,[ESS]
2020/02/16-12:25:53,BPGC-NAB,00:a3:8e:60:f2:a0,-78dBm,2462MHz,~77.0m,false,[ESS]
2020/02/16-12:25:53,BPGC-NAB,08:4f:a9:10:4b:80,-77dBm,2462MHz,~68.6m,false,[ESS]
2020/02/16-12:25:53,BPGC-NAB,08:4f:a9:2d:8a:40,-68dBm,2462MHz,~24.3m,false,[ESS]
2020/02/16-12:25:53,BPGC-NAB,08:4f:a9:2d:8a:a0,-47dBm,2412MHz,~2.2m,false,[ESS]
2020/02/16-12:25:53,BPGC-NAB,08:4f:a9:30:00:00,-89dBm,2437MHz,~275.8m,false,[ESS]
2020/02/16-12:25:53,BPGC-NAB,08:4f:a9:39:68:20,-76dBm,2437MHz,~61.8m,false,[ESS]
2020/02/16-12:25:53,BPGC-NAB,70:ea:1a:22:96:00,-85dBm,2412MHz,~175.8m,false,[ESS]
2020/02/16-12:25:53,BPGC-NAB,70:ea:1a:22:98:20,-88dBm,2437MHz,~245.8m,false,[ESS]
2020/02/16-12:25:53,BPGC-NAB,70:ea:1a:22:9f:20,-68dBm,2462MHz,~24.3m,false,[ESS]
2020/02/16-12:25:53,BPGC-NAB,70:ea:1a:22:a9:a0,-54dBm,2437MHz,~4.9m,false,[ESS]
2020/02/16-12:25:53,BPGC-NAB,70:ea:1a:22:ac:00,-85dBm,2437MHz,~174.0m,false,[ESS]
2020/02/16-12:25:54,BPGC-NAB,00:a3:8e:4e:29:a0,-80dBm,2412MHz,~98.9m,false,[ESS]
2020/02/16-12:25:54,BPGC-NAB,00:a3:8e:60:f2:a0,-68dBm,2462MHz,~24.3m,false,[ESS]
2020/02/16-12:25:54,BPGC-NAB,08:4f:a9:10:4b:80,-61dBm,2462MHz,~10.9m,false,[ESS]
2020/02/16-12:25:54,BPGC-NAB,08:4f:a9:2d:8a:40,-64dBm,2462MHz,~15.4m,false,[ESS]
2020/02/16-12:25:54,BPGC-NAB,08:4f:a9:2d:8a:a0,-45dBm,2412MHz,~1.8m,false,[ESS]
2020/02/16-12:25:54,BPGC-NAB,08:4f:a9:30:00:00,-89dBm,2437MHz,~275.8m,false,[ESS]
2020/02/16-12:25:54,BPGC-NAB,08:4f:a9:39:68:20,-75dBm,2437MHz,~55.0m,false,[ESS]
2020/02/16-12:25:54,BPGC-NAB,70:ea:1a:22:8f:e0,-53dBm,2437MHz,~4.4m,false,[ESS]
2020/02/16-12:25:54,BPGC-NAB,70:ea:1a:22:96:00,-72dBm,2412MHz,~39.4m,false,[ESS]
2020/02/16-12:25:54,BPGC-NAB,70:ea:1a:22:96:20,-69dBm,2462MHz,~27.3m,false,[ESS]
2020/02/16-12:25:54,BPGC-NAB,70:ea:1a:22:96:a0,-80dBm,2412MHz,~98.9m,false,[ESS]
2020/02/16-12:25:54,BPGC-NAB,70:ea:1a:22:97:80,-74dBm,2412MHz,~49.6m,false,[ESS]
2020/02/16-12:25:54,BPGC-NAB,70:ea:1a:22:98:20,-80dBm,2437MHz,~97.9m,false,[ESS]
2020/02/16-12:25:54,BPGC-NAB,70:ea:1a:22:9f:20,-70dBm,2462MHz,~30.6m,false,[ESS]
2020/02/16-12:25:54,BPGC-NAB,70:ea:1a:22:a0:20,-76dBm,2437MHz,~61.8m,false,[ESS]
2020/02/16-12:25:54,BPGC-NAB,70:ea:1a:22:a5:a0,-67dBm,2462MHz,~21.7m,false,[ESS]
2020/02/16-12:25:54,BPGC-NAB,70:ea:1a:22:a9:40,-68dBm,2412MHz,~24.8m,false,[ESS]
2020/02/16-12:25:54,BPGC-NAB,70:ea:1a:22:a9:a0,-60dBm,2437MHz,~9.8m,false,[ESS]
2020/02/16-12:25:54,BPGC-NAB,70:ea:1a:22:ac:00,-77dBm,2437MHz,~69.3m,false,[ESS]
2020/02/16-12:25:54,BPGC-NAB,a8:b4:56:cc:de:00,-73dBm,2462MHz,~43.3m,false,[ESS]
2020/02/16-12:25:56,BPGC-NAB,00:a3:8e:60:f2:a0,-59dBm,2462MHz,~8.6m,false,[ESS]
2020/02/16-12:25:56,BPGC-NAB,08:4f:a9:10:4b:80,-44dBm,2462MHz,~1.5m,false,[ESS]
2020/02/16-12:25:56,BPGC-NAB,70:ea:1a:22:8f:e0,-53dBm,2437MHz,~4.4m,false,[ESS]
2020/02/16-12:25:56,BPGC-NAB,70:ea:1a:22:96:00,-60dBm,2412MHz,~9.9m,false,[ESS]
2020/02/16-12:25:56,BPGC-NAB,70:ea:1a:22:96:20,-69dBm,2462MHz,~27.3m,false,[ESS]
2020/02/16-12:25:56,BPGC-NAB,70:ea:1a:22:96:a0,-80dBm,2412MHz,~98.9m,false,[ESS]
