Xiaomi xiaomi Mi A2,,,,,,,
Time Stamp,SSID,BSSID,Strength,Primary Frequency,Distance,802.11mc,Security
2020/02/16-12:25:53,BPGC-NAB,00:a3:8e:4e:29:a0,-76dBm,2412MHz,~62.4m,FALSE,[ESS][WFA-HT]
2020/02/16-12:25:53,BPGC-NAB,08:4f:a9:10:4b:80,-69dBm,2462MHz,~27.3m,FALSE,[ESS][WFA-HT]
2020/02/16-12:25:53,BPGC-NAB,08:4f:a9:2d:8a:40,-51dBm,2462MHz,~3.4m,FALSE,[ESS][WFA-HT]
2020/02/16-12:25:53,BPGC-NAB,08:4f:a9:2d:8a:a0,-58dBm,2412MHz,~7.9m,FALSE,[ESS][WFA-HT]
2020/02/16-12:25:53,BPGC-NAB,08:4f:a9:39:68:20,-65dBm,2437MHz,~17.4m,FALSE,[ESS][WFA-HT]
2020/02/16-12:25:53,BPGC-WIFI,40:01:7a:01:b8:80,-82dBm,2412MHz,~124.5m,FALSE,[ESS][WFA-HT]
2020/02/16-12:25:53,BPGC-LT,40:01:7a:01:b8:81,-82dBm,2412MHz,~124.5m,FALSE,[WPA2-PSK-CCMP][RSN-PSK-CCMP][WPA-PSK-TKIP][ESS][WFA-HT]
2020/02/16-12:25:53,BPGC-NAB,70:ea:1a:22:8f:e0,-60dBm,2437MHz,~9.8m,FALSE,[ESS][WFA-HT]
2020/02/16-12:25:53,BPGC-NAB,70:ea:1a:22:96:00,-57dBm,2412MHz,~7.0m,FALSE,[ESS][WFA-HT]
2020/02/16-12:25:53,BPGC-NAB,70:ea:1a:22:97:80,-78dBm,2412MHz,~78.5m,FALSE,[ESS][WFA-HT]
2020/02/16-12:25:53,BPGC-NAB,70:ea:1a:22:98:20,-65dBm,2437MHz,~17.4m,FALSE,[ESS][WFA-HT]
2020/02/16-12:25:53,BPGC-NAB,70:ea:1a:22:9f:20,-73dBm,2462MHz,~43.3m,FALSE,[ESS][WFA-HT]
2020/02/16-12:25:53,BPGC-NAB,70:ea:1a:22:a0:20,-64dBm,2437MHz,~15.5m,FALSE,[ESS][WFA-HT]
2020/02/16-12:25:53,BPGC-NAB,70:ea:1a:22:a9:40,-64dBm,2412MHz,~15.7m,FALSE,[ESS][WFA-HT]
2020/02/16-12:25:53,BPGC-NAB,70:ea:1a:22:a9:a0,-58dBm,2437MHz,~7.8m,FALSE,[ESS][WFA-HT]
2020/02/16-12:25:53,BPGC-NAB,70:ea:1a:22:ac:00,-63dBm,2437MHz,~13.8m,FALSE,[ESS][WFA-HT]
2020/02/16-12:25:54,BPGC-NAB,08:4f:a9:2d:8a:a0,-75dBm,2412MHz,~55.6m,FALSE,[ESS][WFA-HT]
2020/02/16-12:25:54,BPGC-WIFI,40:01:7a:01:b8:80,-82dBm,2412MHz,~124.5m,FALSE,[ESS][WFA-HT]
2020/02/16-12:25:54,BPGC-LT,40:01:7a:01:b8:81,-82dBm,2412MHz,~124.5m,FALSE,[WPA2-PSK-CCMP][RSN-PSK-CCMP][WPA-PSK-TKIP][ESS][WFA-HT]
2020/02/16-12:25:54,BPGC-NAB,70:ea:1a:22:8f:e0,-60dBm,2437MHz,~9.8m,FALSE,[ESS][WFA-HT]
2020/02/16-12:25:54,BPGC-NAB,70:ea:1a:22:96:00,-57dBm,2412MHz,~7.0m,FALSE,[ESS][WFA-HT]
2020/02/16-12:25:54,BPGC-NAB,70:ea:1a:22:97:80,-78dBm,2412MHz,~78.5m,FALSE,[ESS][WFA-HT]
2020/02/16-12:25:54,BPGC-NAB,70:ea:1a:22:98:20,-65dBm,2437MHz,~17.4m,FALSE,[ESS][WFA-HT]
2020/02/16-12:25:54,BPGC-NAB,70:ea:1a:22:a0:20,-64dBm,2437MHz,~15.5m,FALSE,[ESS][WFA-HT]
2020/02/16-12:25:54,BPGC-NAB,70:ea:1a:22:a9:40,-64dBm,2412MHz,~15.7m,FALSE,[ESS][WFA-HT]
2020/02/16-12:25:54,BPGC-NAB,70:ea:1a:22:a9:a0,-60dBm,2437MHz,~9.8m,FALSE,[ESS][WFA-HT]
2020/02/16-12:25:54,BPGC-NAB,70:ea:1a:22:ac:00,-54dBm,2437MHz,~4.9m,FALSE,[ESS][WFA-HT]
2020/02/16-12:25:55,BPGC-NAB,08:4f:a9:2d:8a:a0,-75dBm,2412MHz,~55.6m,FALSE,[ESS][WFA-HT]
2020/02/16-12:25:55,BPGC-WIFI,40:01:7a:01:b8:80,-82dBm,2412MHz,~124.5m,FALSE,[ESS][WFA-HT]
2020/02/16-12:25:55,BPGC-LT,40:01:7a:01:b8:81,-82dBm,2412MHz,~124.5m,FALSE,[WPA2-PSK-CCMP][RSN-PSK-CCMP][WPA-PSK-TKIP][ESS][WFA-HT]
2020/02/16-12:25:55,BPGC-NAB,70:ea:1a:22:8f:e0,-60dBm,2437MHz,~9.8m,FALSE,[ESS][WFA-HT]
2020/02/16-12:25:55,BPGC-NAB,70:ea:1a:22:96:00,-57dBm,2412MHz,~7.0m,FALSE,[ESS][WFA-HT]
2020/02/16-12:25:55,BPGC-NAB,70:ea:1a:22:97:80,-78dBm,2412MHz,~78.5m,FALSE,[ESS][WFA-HT]
2020/02/16-12:25:55,BPGC-NAB,70:ea:1a:22:98:20,-65dBm,2437MHz,~17.4m,FALSE,[ESS][WFA-HT]
2020/02/16-12:25:55,BPGC-NAB,70:ea:1a:22:a0:20,-64dBm,2437MHz,~15.5m,FALSE,[ESS][WFA-HT]
2020/02/16-12:25:55,BPGC-NAB,70:ea:1a:22:a9:40,-64dBm,2412MHz,~15.7m,FALSE,[ESS][WFA-HT]
2020/02/16-12:25:55,BPGC-NAB,70:ea:1a:22:a9:a0,-60dBm,2437MHz,~9.8m,FALSE,[ESS][WFA-HT]
2020/02/16-12:25:55,BPGC-NAB,70:ea:1a:22:ac:00,-54dBm,2437MHz,~4.9m,FALSE,[ESS][WFA-HT]
2020/02/16-12:25:56,BPGC-NAB,08:4f:a9:2d:8a:a0,-75dBm,2412MHz,~55.6m,FALSE,[ESS][WFA-HT]
2020/02/16-12:25:56,BPGC-WIFI,40:01:7a:01:b8:80,-82dBm,2412MHz,~124.5m,FALSE,[ESS][WFA-HT]
2020/02/16-12:25:56,BPGC-LT,40:01:7a:01:b8:81,-82dBm,2412MHz,~124.5m,FALSE,[WPA2-PSK-CCMP][RSN-PSK-CCMP][WPA-PSK-TKIP][ESS][WFA-HT]
2020/02/16-12:25:56,BPGC-NAB,70:ea:1a:22:8f:e0,-60dBm,2437MHz,~9.8m,FALSE,[ESS][WFA-HT]
2020/02/16-12:25:56,BPGC-NAB,70:ea:1a:22:96:00,-57dBm,2412MHz,~7.0m,FALSE,[ESS][WFA-HT]
2020/02/16-12:25:56,BPGC-NAB,70:ea:1a:22:97:80,-78dBm,2412MHz,~78.5m,FALSE,[ESS][WFA-HT]
2020/02/16-12:25:56,BPGC-NAB,70:ea:1a:22:98:20,-65dBm,2437MHz,~17.4m,FALSE,[ESS][WFA-HT]
2020/02/16-12:25:56,BPGC-NAB,70:ea:1a:22:a0:20,-64dBm,2437MHz,~15.5m,FALSE,[ESS][WFA-HT]
2020/02/16-12:25:56,BPGC-NAB,70:ea:1a:22:a9:40,-64dBm,2412MHz,~15.7m,FALSE,[ESS][WFA-HT]
2020/02/16-12:25:56,BPGC-NAB,70:ea:1a:22:a9:a0,-62dBm,2437MHz,~12.3m,FALSE,[ESS][WFA-HT]
2020/02/16-12:25:56,BPGC-NAB,70:ea:1a:22:ac:00,-54dBm,2437MHz,~4.9m,FALSE,[ESS][WFA-HT]
2020/02/16-12:25:57,BPGC-NAB,08:4f:a9:2d:8a:a0,-75dBm,2412MHz,~55.6m,FALSE,[ESS][WFA-HT]
2020/02/16-12:25:57,BPGC-WIFI,40:01:7a:01:b8:80,-82dBm,2412MHz,~124.5m,FALSE,[ESS][WFA-HT]
2020/02/16-12:25:57,BPGC-LT,40:01:7a:01:b8:81,-82dBm,2412MHz,~124.5m,FALSE,[WPA2-PSK-CCMP][RSN-PSK-CCMP][WPA-PSK-TKIP][ESS][WFA-HT]
2020/02/16-12:25:57,BPGC-NAB,70:ea:1a:22:8f:e0,-60dBm,2437MHz,~9.8m,FALSE,[ESS][WFA-HT]
2020/02/16-12:25:57,BPGC-NAB,70:ea:1a:22:96:00,-57dBm,2412MHz,~7.0m,FALSE,[ESS][WFA-HT]
2020/02/16-12:25:57,BPGC-NAB,70:ea:1a:22:97:80,-78dBm,2412MHz,~78.5m,FALSE,[ESS][WFA-HT]
2020/02/16-12:25:57,BPGC-NAB,70:ea:1a:22:98:20,-65dBm,2437MHz,~17.4m,FALSE,[ESS][WFA-HT]
2020/02/16-12:25:57,BPGC-NAB,70:ea:1a:22:a0:20,-64dBm,2437MHz,~15.5m,FALSE,[ESS][WFA-HT]
2020/02/16-12:25:57,BPGC-NAB,70:ea:1a:22:a9:40,-64dBm,2412MHz,~15.7m,FALSE,[ESS][WFA-HT]
2020/02/16-12:25:57,BPGC-NAB,70:ea:1a:22:a9:a0,-64dBm,2437MHz,~15.5m,FALSE,[ESS][WFA-HT]
2020/02/16-12:25:57,BPGC-NAB,70:ea:1a:22:ac:00,-54dBm,2437MHz,~4.9m,FALSE,[ESS][WFA-HT]
2020/02/16-12:25:58,BPGC-NAB,08:4f:a9:2d:8a:a0,-75dBm,2412MHz,~55.6m,FALSE,[ESS][WFA-HT]
2020/02/16-12:25:58,BPGC-WIFI,40:01:7a:01:b8:80,-82dBm,2412MHz,~124.5m,FALSE,[ESS][WFA-HT]
