Xiaomi xiaomi Mi A2 
Time Stamp,SSID,BSSID,Strength,Primary Frequency,Distance,802.11mc,Security
2020/02/16-12:38:23,BPGC-NAB,08:4f:a9:39:68:40,-86dBm,2462MHz,~193.3m,false,[ESS][WFA-HT]
2020/02/16-12:38:23,BPGC-NAB,70:ea:1a:22:8f:e0,-83dBm,2437MHz,~138.2m,false,[ESS][WFA-HT]
2020/02/16-12:38:23,BPGC-NAB,70:ea:1a:22:97:80,-49dBm,2412MHz,~2.8m,false,[ESS][WFA-HT]
2020/02/16-12:38:23,BPGC-NAB,70:ea:1a:22:a0:20,-61dBm,2437MHz,~11.0m,false,[ESS][WFA-HT]
2020/02/16-12:38:23,BPGC-NAB,70:ea:1a:22:a5:a0,-57dBm,2462MHz,~6.9m,false,[ESS][WFA-HT]
2020/02/16-12:38:23,BPGC-NAB,70:ea:1a:22:a9:40,-63dBm,2412MHz,~14.0m,false,[ESS][WFA-HT]
2020/02/16-12:38:23,BPGC-NAB,70:ea:1a:22:ac:00,-55dBm,2437MHz,~5.5m,false,[ESS][WFA-HT]
2020/02/16-12:38:24,BPGC-NAB,70:ea:1a:22:8f:e0,-83dBm,2437MHz,~138.2m,false,[ESS][WFA-HT]
2020/02/16-12:38:24,BPGC-NAB,70:ea:1a:22:97:80,-54dBm,2412MHz,~5.0m,false,[ESS][WFA-HT]
2020/02/16-12:38:24,BPGC-NAB,70:ea:1a:22:a5:a0,-54dBm,2462MHz,~4.9m,false,[ESS][WFA-HT]
2020/02/16-12:38:24,BPGC-NAB,70:ea:1a:22:a9:40,-63dBm,2412MHz,~14.0m,false,[ESS][WFA-HT]
2020/02/16-12:38:24,BPGC-NAB,70:ea:1a:22:ac:00,-57dBm,2437MHz,~6.9m,false,[ESS][WFA-HT]
2020/02/16-12:38:25,BPGC-NAB,70:ea:1a:22:8f:e0,-83dBm,2437MHz,~138.2m,false,[ESS][WFA-HT]
2020/02/16-12:38:25,BPGC-NAB,70:ea:1a:22:97:80,-54dBm,2412MHz,~5.0m,false,[ESS][WFA-HT]
2020/02/16-12:38:25,BPGC-NAB,70:ea:1a:22:a5:a0,-54dBm,2462MHz,~4.9m,false,[ESS][WFA-HT]
2020/02/16-12:38:25,BPGC-NAB,70:ea:1a:22:a9:40,-63dBm,2412MHz,~14.0m,false,[ESS][WFA-HT]
2020/02/16-12:38:25,BPGC-NAB,70:ea:1a:22:ac:00,-57dBm,2437MHz,~6.9m,false,[ESS][WFA-HT]
2020/02/16-12:38:26,BPGC-NAB,70:ea:1a:22:8f:e0,-83dBm,2437MHz,~138.2m,false,[ESS][WFA-HT]
2020/02/16-12:38:26,BPGC-NAB,70:ea:1a:22:97:80,-54dBm,2412MHz,~5.0m,false,[ESS][WFA-HT]
2020/02/16-12:38:26,BPGC-NAB,70:ea:1a:22:a5:a0,-54dBm,2462MHz,~4.9m,false,[ESS][WFA-HT]
2020/02/16-12:38:26,BPGC-NAB,70:ea:1a:22:a9:40,-63dBm,2412MHz,~14.0m,false,[ESS][WFA-HT]
2020/02/16-12:38:26,BPGC-NAB,70:ea:1a:22:ac:00,-57dBm,2437MHz,~6.9m,false,[ESS][WFA-HT]
2020/02/16-12:38:27,BPGC-NAB,70:ea:1a:22:8f:e0,-83dBm,2437MHz,~138.2m,false,[ESS][WFA-HT]
