Xiaomi xiaomi Mi A2 
Time Stamp,SSID,BSSID,Strength,Primary Frequency,Distance,802.11mc,Security
2020/02/16-12:15:10,BPGC-NAB,08:4f:a9:39:6a:40,-82dBm,2462MHz,~122.0m,false,[ESS][WFA-HT]
2020/02/16-12:15:10,BPGC-NAB,70:ea:1a:22:87:60,-66dBm,2412MHz,~19.7m,false,[ESS][WFA-HT]
2020/02/16-12:15:10,BPGC-NAB,70:ea:1a:22:8f:e0,-79dBm,2437MHz,~87.2m,false,[ESS][WFA-HT]
2020/02/16-12:15:10,BPGC-NAB,70:ea:1a:22:96:00,-68dBm,2412MHz,~24.8m,false,[ESS][WFA-HT]
2020/02/16-12:15:10,BPGC-NAB,70:ea:1a:22:97:80,-65dBm,2412MHz,~17.6m,false,[ESS][WFA-HT]
2020/02/16-12:15:10,BPGC-NAB,70:ea:1a:22:98:20,-78dBm,2437MHz,~77.7m,false,[ESS][WFA-HT]
2020/02/16-12:15:10,BPGC-NAB,70:ea:1a:22:9b:80,-78dBm,2412MHz,~78.5m,false,[ESS][WFA-HT]
2020/02/16-12:15:10,BPGC-NAB,70:ea:1a:22:9b:e0,-71dBm,2437MHz,~34.7m,false,[ESS][WFA-HT]
2020/02/16-12:15:10,BPGC-NAB,70:ea:1a:22:a0:20,-49dBm,2437MHz,~2.8m,false,[ESS][WFA-HT]
2020/02/16-12:15:10,BPGC-NAB,70:ea:1a:22:a5:a0,-69dBm,2462MHz,~27.3m,false,[ESS][WFA-HT]
2020/02/16-12:15:10,BPGC-NAB,70:ea:1a:22:a9:40,-66dBm,2412MHz,~19.7m,false,[ESS][WFA-HT]
2020/02/16-12:15:10,BPGC-NAB,70:ea:1a:22:ac:00,-72dBm,2437MHz,~39.0m,false,[ESS][WFA-HT]
2020/02/16-12:15:10,CRT-MIFI,8c:21:a7:e1:4e:22,-65dBm,2427MHz,~17.5m,false,[WPA-PSK-CCMP][ESS][WFA-HT]
2020/02/16-12:15:10,BPGC-NAB,a8:b4:56:cc:de:00,-66dBm,2462MHz,~19.3m,false,[ESS][WFA-HT]
2020/02/16-12:15:11,BPGC-NAB,70:ea:1a:22:87:60,-61dBm,2412MHz,~11.1m,false,[ESS][WFA-HT]
