OnePlus OnePlus ONEPLUS A5000 
Time Stamp,SSID,BSSID,Strength,Primary Frequency,Distance,802.11mc,Security
2020/02/16-12:28:23,BPGC-NAB,00:a3:8e:60:f2:a0,-79dBm,2462MHz,~86.3m,false,[ESS]
2020/02/16-12:28:23,BPGC-NAB,08:4f:a9:43:38:a0,-81dBm,2437MHz,~109.8m,false,[ESS]
2020/02/16-12:28:23,BPGC-NAB,68:3b:78:e9:c0:e0,-74dBm,2462MHz,~48.6m,false,[ESS]
2020/02/16-12:28:23,BPGC-NAB,70:ea:1a:22:8f:e0,-85dBm,2437MHz,~174.0m,false,[ESS]
2020/02/16-12:28:23,BPGC-NAB,70:ea:1a:22:9f:20,-83dBm,2462MHz,~136.8m,false,[ESS]
2020/02/16-12:28:23,BPGC-NAB,70:ea:1a:22:ac:00,-83dBm,2437MHz,~138.2m,false,[ESS]
2020/02/16-12:28:24,BPGC-NAB,00:a3:8e:60:f2:a0,-78dBm,2462MHz,~77.0m,false,[ESS]
2020/02/16-12:28:24,BPGC-NAB,68:3b:78:e9:c0:e0,-74dBm,2462MHz,~48.6m,false,[ESS]
2020/02/16-12:28:24,BPGC-NAB,70:ea:1a:22:8f:e0,-85dBm,2437MHz,~174.0m,false,[ESS]
2020/02/16-12:28:24,BPGC-NAB,70:ea:1a:22:9f:20,-83dBm,2462MHz,~136.8m,false,[ESS]
2020/02/16-12:28:24,BPGC-NAB,70:ea:1a:22:ac:00,-83dBm,2437MHz,~138.2m,false,[ESS]
2020/02/16-12:28:25,BPGC-NAB,00:a3:8e:60:f2:a0,-78dBm,2462MHz,~77.0m,false,[ESS]
2020/02/16-12:28:25,BPGC-NAB,08:4f:a9:43:38:a0,-78dBm,2437MHz,~77.7m,false,[ESS]
2020/02/16-12:28:26,BPGC-NAB,08:4f:a9:2d:77:40,-80dBm,2412MHz,~98.9m,false,[ESS]
2020/02/16-12:28:26,BPGC-NAB,08:4f:a9:43:38:a0,-78dBm,2437MHz,~77.7m,false,[ESS]
2020/02/16-12:28:27,BPGC-NAB,08:4f:a9:2d:77:40,-80dBm,2412MHz,~98.9m,false,[ESS]
2020/02/16-12:28:27,BPGC-NAB,08:4f:a9:43:38:a0,-82dBm,2437MHz,~123.2m,false,[ESS]
2020/02/16-12:28:27,BPGC-NAB,68:3b:78:e9:c0:e0,-76dBm,2462MHz,~61.1m,false,[ESS]
2020/02/16-12:28:28,BPGC-NAB,08:4f:a9:2d:77:40,-82dBm,2412MHz,~124.5m,false,[ESS]
2020/02/16-12:28:28,BPGC-NAB,08:4f:a9:43:38:a0,-83dBm,2437MHz,~138.2m,false,[ESS]
2020/02/16-12:28:28,BPGC-NAB,68:3b:78:e9:c0:e0,-75dBm,2462MHz,~54.5m,false,[ESS]
2020/02/16-12:28:29,BPGC-NAB,08:4f:a9:2d:77:40,-81dBm,2412MHz,~110.9m,false,[ESS]
2020/02/16-12:28:29,BPGC-NAB,08:4f:a9:43:38:a0,-83dBm,2437MHz,~138.2m,false,[ESS]
2020/02/16-12:28:29,BPGC-NAB,68:3b:78:e9:c0:e0,-74dBm,2462MHz,~48.6m,false,[ESS]
2020/02/16-12:28:29,BPGC-NAB,70:ea:1a:22:8f:e0,-85dBm,2437MHz,~174.0m,false,[ESS]
2020/02/16-12:28:30,BPGC-NAB,00:a3:8e:60:f2:a0,-76dBm,2462MHz,~61.1m,false,[ESS]
2020/02/16-12:28:30,BPGC-NAB,08:4f:a9:2d:77:40,-80dBm,2412MHz,~98.9m,false,[ESS]
2020/02/16-12:28:30,BPGC-NAB,08:4f:a9:43:38:a0,-83dBm,2437MHz,~138.2m,false,[ESS]
2020/02/16-12:28:30,BPGC-NAB,68:3b:78:e9:c0:e0,-74dBm,2462MHz,~48.6m,false,[ESS]
2020/02/16-12:28:30,BPGC-NAB,70:ea:1a:22:8f:e0,-85dBm,2437MHz,~174.0m,false,[ESS]
2020/02/16-12:28:31,BPGC-NAB,00:a3:8e:60:f2:a0,-79dBm,2462MHz,~86.3m,false,[ESS]
2020/02/16-12:28:31,BPGC-NAB,08:4f:a9:2d:77:40,-79dBm,2412MHz,~88.1m,false,[ESS]
2020/02/16-12:28:31,BPGC-NAB,08:4f:a9:43:38:a0,-83dBm,2437MHz,~138.2m,false,[ESS]
2020/02/16-12:28:31,BPGC-NAB,68:3b:78:e9:c0:e0,-75dBm,2462MHz,~54.5m,false,[ESS]
2020/02/16-12:28:32,BPGC-NAB,00:a3:8e:60:f2:a0,-82dBm,2462MHz,~122.0m,false,[ESS]
2020/02/16-12:28:32,BPGC-NAB,08:4f:a9:2d:77:40,-79dBm,2412MHz,~88.1m,false,[ESS]
2020/02/16-12:28:32,BPGC-NAB,08:4f:a9:43:38:a0,-84dBm,2437MHz,~155.1m,false,[ESS]
2020/02/16-12:28:32,BPGC-NAB,68:3b:78:e9:c0:e0,-75dBm,2462MHz,~54.5m,false,[ESS]
2020/02/16-12:28:33,BPGC-NAB,08:4f:a9:2d:77:40,-83dBm,2412MHz,~139.7m,false,[ESS]
2020/02/16-12:28:33,BPGC-NAB,08:4f:a9:43:38:a0,-82dBm,2437MHz,~123.2m,false,[ESS]
2020/02/16-12:28:33,BPGC-NAB,68:3b:78:e9:c0:e0,-74dBm,2462MHz,~48.6m,false,[ESS]
2020/02/16-12:28:34,BPGC-NAB,08:4f:a9:2d:77:40,-82dBm,2412MHz,~124.5m,false,[ESS]
2020/02/16-12:28:34,BPGC-NAB,08:4f:a9:43:38:a0,-80dBm,2437MHz,~97.9m,false,[ESS]
2020/02/16-12:28:34,BPGC-NAB,68:3b:78:e9:c0:e0,-75dBm,2462MHz,~54.5m,false,[ESS]
2020/02/16-12:28:35,BPGC-NAB,08:4f:a9:2d:77:40,-81dBm,2412MHz,~110.9m,false,[ESS]
2020/02/16-12:28:35,BPGC-NAB,08:4f:a9:43:38:a0,-80dBm,2437MHz,~97.9m,false,[ESS]
2020/02/16-12:28:35,BPGC-NAB,68:3b:78:e9:c0:e0,-75dBm,2462MHz,~54.5m,false,[ESS]
2020/02/16-12:28:36,BPGC-NAB,00:a3:8e:60:f2:a0,-78dBm,2462MHz,~77.0m,false,[ESS]
2020/02/16-12:28:36,BPGC-NAB,08:4f:a9:2d:77:40,-81dBm,2412MHz,~110.9m,false,[ESS]
2020/02/16-12:28:36,BPGC-NAB,08:4f:a9:43:38:a0,-82dBm,2437MHz,~123.2m,false,[ESS]
2020/02/16-12:28:36,BPGC-NAB,68:3b:78:e9:c0:e0,-75dBm,2462MHz,~54.5m,false,[ESS]
2020/02/16-12:28:37,BPGC-NAB,00:a3:8e:60:f2:a0,-77dBm,2462MHz,~68.6m,false,[ESS]
2020/02/16-12:28:37,BPGC-NAB,08:4f:a9:2d:77:40,-80dBm,2412MHz,~98.9m,false,[ESS]
2020/02/16-12:28:37,BPGC-NAB,08:4f:a9:43:38:a0,-82dBm,2437MHz,~123.2m,false,[ESS]
2020/02/16-12:28:37,BPGC-NAB,68:3b:78:e9:c0:e0,-74dBm,2462MHz,~48.6m,false,[ESS]
2020/02/16-12:28:38,BPGC-NAB,00:a3:8e:60:f2:a0,-77dBm,2462MHz,~68.6m,false,[ESS]
2020/02/16-12:28:38,BPGC-NAB,08:4f:a9:2d:77:40,-79dBm,2412MHz,~88.1m,false,[ESS]
2020/02/16-12:28:38,BPGC-NAB,08:4f:a9:43:38:a0,-83dBm,2437MHz,~138.2m,false,[ESS]
2020/02/16-12:28:38,BPGC-NAB,68:3b:78:e9:c0:e0,-73dBm,2462MHz,~43.3m,false,[ESS]
2020/02/16-12:28:39,BPGC-NAB,00:a3:8e:60:f2:a0,-73dBm,2462MHz,~43.3m,false,[ESS]
2020/02/16-12:28:39,BPGC-NAB,08:4f:a9:10:4b:80,-87dBm,2462MHz,~216.9m,false,[ESS]
2020/02/16-12:28:39,BPGC-NAB,08:4f:a9:2d:77:40,-79dBm,2412MHz,~88.1m,false,[ESS]
2020/02/16-12:28:39,BPGC-NAB,08:4f:a9:43:38:a0,-84dBm,2437MHz,~155.1m,false,[ESS]
2020/02/16-12:28:39,BPGC-NAB,68:3b:78:e9:c0:e0,-72dBm,2462MHz,~38.6m,false,[ESS]
2020/02/16-12:28:39,BPGC-NAB,70:ea:1a:22:9f:20,-87dBm,2462MHz,~216.9m,false,[ESS]
2020/02/16-12:28:40,BPGC-NAB,00:a3:8e:60:f2:a0,-67dBm,2462MHz,~21.7m,false,[ESS]
2020/02/16-12:28:40,BPGC-NAB,08:4f:a9:10:4b:80,-87dBm,2462MHz,~216.9m,false,[ESS]
2020/02/16-12:28:40,BPGC-NAB,08:4f:a9:2d:77:40,-80dBm,2412MHz,~98.9m,false,[ESS]
2020/02/16-12:28:40,BPGC-NAB,08:4f:a9:43:38:a0,-80dBm,2437MHz,~97.9m,false,[ESS]
