Xiaomi Xiaomi Redmi Note 5 Pro 
Time Stamp,SSID,BSSID,Strength,Primary Frequency,Distance,802.11mc,Security
2020/02/16-12:28:16,BPGC-NAB,00:a3:8e:60:f2:a0,-57dBm,2462MHz,~6.9m,false,[ESS]
2020/02/16-12:28:16,BPGC-NAB,08:4f:a9:10:4b:80,-60dBm,2462MHz,~9.7m,false,[ESS]
2020/02/16-12:28:16,BPGC-NAB,08:4f:a9:2d:77:40,-59dBm,2412MHz,~8.8m,false,[ESS]
2020/02/16-12:28:16,BPGC-NAB,08:4f:a9:2d:8a:a0,-70dBm,2412MHz,~31.3m,false,[ESS]
2020/02/16-12:28:16,BPGC-NAB,08:4f:a9:43:38:a0,-70dBm,2437MHz,~30.9m,false,[ESS]
2020/02/16-12:28:16,BPGC-LT,40:01:7a:01:b8:81,-74dBm,2412MHz,~49.6m,false,[WPA2-PSK-CCMP][RSN-PSK-CCMP][WPA-PSK-TKIP][ESS]
2020/02/16-12:28:16,BPGC-LT,40:01:7a:01:b8:8e,-81dBm,5280MHz,~50.7m,false,[WPA2-PSK-CCMP][RSN-PSK-CCMP][WPA-PSK-TKIP][ESS]
2020/02/16-12:28:16,BPGC-LT,40:01:7a:af:d3:6e,-81dBm,5320MHz,~50.3m,false,[WPA2-PSK-CCMP][RSN-PSK-CCMP][WPA-PSK-TKIP][ESS]
2020/02/16-12:28:16,BPGC-WIFI,40:01:7a:af:d3:6f,-80dBm,5320MHz,~44.8m,false,[ESS]
2020/02/16-12:28:16,BPGC-NAB,68:3b:78:e9:c0:e0,-64dBm,2462MHz,~15.4m,false,[ESS]
2020/02/16-12:28:16,BPGC-NAB,70:ea:1a:22:8f:e0,-51dBm,2437MHz,~3.5m,false,[ESS]
2020/02/16-12:28:16,BPGC-NAB,70:ea:1a:22:96:00,-75dBm,2412MHz,~55.6m,false,[ESS]
2020/02/16-12:28:16,BPGC-NAB,70:ea:1a:22:97:80,-61dBm,2412MHz,~11.1m,false,[ESS]
2020/02/16-12:28:16,BPGC-NAB,70:ea:1a:22:98:20,-65dBm,2437MHz,~17.4m,false,[ESS]
2020/02/16-12:28:16,BPGC-NAB,70:ea:1a:22:9f:20,-78dBm,2462MHz,~77.0m,false,[ESS]
2020/02/16-12:28:16,BPGC-NAB,70:ea:1a:22:a0:20,-58dBm,2437MHz,~7.8m,false,[ESS]
2020/02/16-12:28:16,BPGC-NAB,70:ea:1a:22:a5:a0,-71dBm,2462MHz,~34.4m,false,[ESS]
2020/02/16-12:28:16,BPGC-NAB,70:ea:1a:22:a9:40,-74dBm,2412MHz,~49.6m,false,[ESS]
2020/02/16-12:28:16,BPGC-NAB,70:ea:1a:22:a9:a0,-60dBm,2437MHz,~9.8m,false,[ESS]
2020/02/16-12:28:16,BPGC-NAB,70:ea:1a:22:ac:00,-70dBm,2437MHz,~30.9m,false,[ESS]
2020/02/16-12:28:16,BPGC-NAB,a8:b4:56:cc:de:00,-60dBm,2462MHz,~9.7m,false,[ESS]
2020/02/16-12:28:17,BPGC-NAB,00:a3:8e:60:f2:a0,-60dBm,2462MHz,~9.7m,false,[ESS]
2020/02/16-12:28:17,BPGC-NAB,08:4f:a9:10:4b:80,-74dBm,2462MHz,~48.6m,false,[ESS]
2020/02/16-12:28:17,BPGC-NAB,08:4f:a9:2d:77:40,-59dBm,2412MHz,~8.8m,false,[ESS]
2020/02/16-12:28:17,BPGC-NAB,08:4f:a9:43:38:a0,-70dBm,2437MHz,~30.9m,false,[ESS]
2020/02/16-12:28:17,BPGC-NAB,68:3b:78:e9:c0:e0,-64dBm,2462MHz,~15.4m,false,[ESS]
2020/02/16-12:28:17,BPGC-NAB,70:ea:1a:22:8f:e0,-55dBm,2437MHz,~5.5m,false,[ESS]
2020/02/16-12:28:17,BPGC-NAB,70:ea:1a:22:96:00,-83dBm,2412MHz,~139.7m,false,[ESS]
2020/02/16-12:28:17,BPGC-NAB,70:ea:1a:22:9f:20,-78dBm,2462MHz,~77.0m,false,[ESS]
2020/02/16-12:28:17,BPGC-NAB,70:ea:1a:22:a5:a0,-76dBm,2462MHz,~61.1m,false,[ESS]
2020/02/16-12:28:17,BPGC-NAB,70:ea:1a:22:a9:40,-82dBm,2412MHz,~124.5m,false,[ESS]
2020/02/16-12:28:17,BPGC-NAB,70:ea:1a:22:ac:00,-75dBm,2437MHz,~55.0m,false,[ESS]
2020/02/16-12:28:18,BPGC-NAB,00:a3:8e:60:f2:a0,-61dBm,2462MHz,~10.9m,false,[ESS]
2020/02/16-12:28:18,BPGC-NAB,08:4f:a9:10:4b:80,-74dBm,2462MHz,~48.6m,false,[ESS]
2020/02/16-12:28:18,BPGC-NAB,08:4f:a9:2d:77:40,-59dBm,2412MHz,~8.8m,false,[ESS]
2020/02/16-12:28:18,BPGC-NAB,08:4f:a9:43:38:a0,-70dBm,2437MHz,~30.9m,false,[ESS]
2020/02/16-12:28:18,BPGC-NAB,68:3b:78:e9:c0:e0,-64dBm,2462MHz,~15.4m,false,[ESS]
2020/02/16-12:28:18,BPGC-NAB,70:ea:1a:22:8f:e0,-55dBm,2437MHz,~5.5m,false,[ESS]
2020/02/16-12:28:18,BPGC-NAB,70:ea:1a:22:96:00,-83dBm,2412MHz,~139.7m,false,[ESS]
2020/02/16-12:28:18,BPGC-NAB,70:ea:1a:22:9f:20,-78dBm,2462MHz,~77.0m,false,[ESS]
2020/02/16-12:28:18,BPGC-NAB,70:ea:1a:22:a5:a0,-76dBm,2462MHz,~61.1m,false,[ESS]
2020/02/16-12:28:18,BPGC-NAB,70:ea:1a:22:a9:40,-82dBm,2412MHz,~124.5m,false,[ESS]
2020/02/16-12:28:18,BPGC-NAB,70:ea:1a:22:ac:00,-75dBm,2437MHz,~55.0m,false,[ESS]
2020/02/16-12:28:19,BPGC-NAB,00:a3:8e:60:f2:a0,-59dBm,2462MHz,~8.6m,false,[ESS]
2020/02/16-12:28:19,BPGC-NAB,08:4f:a9:10:4b:80,-74dBm,2462MHz,~48.6m,false,[ESS]
2020/02/16-12:28:19,BPGC-NAB,08:4f:a9:2d:77:40,-59dBm,2412MHz,~8.8m,false,[ESS]
2020/02/16-12:28:19,BPGC-NAB,08:4f:a9:43:38:a0,-70dBm,2437MHz,~30.9m,false,[ESS]
2020/02/16-12:28:19,BPGC-NAB,68:3b:78:e9:c0:e0,-64dBm,2462MHz,~15.4m,false,[ESS]
2020/02/16-12:28:19,BPGC-NAB,70:ea:1a:22:8f:e0,-55dBm,2437MHz,~5.5m,false,[ESS]
2020/02/16-12:28:19,BPGC-NAB,70:ea:1a:22:96:00,-83dBm,2412MHz,~139.7m,false,[ESS]
2020/02/16-12:28:19,BPGC-NAB,70:ea:1a:22:9f:20,-78dBm,2462MHz,~77.0m,false,[ESS]
2020/02/16-12:28:19,BPGC-NAB,70:ea:1a:22:a5:a0,-76dBm,2462MHz,~61.1m,false,[ESS]
2020/02/16-12:28:19,BPGC-NAB,70:ea:1a:22:a9:40,-82dBm,2412MHz,~124.5m,false,[ESS]
2020/02/16-12:28:19,BPGC-NAB,70:ea:1a:22:ac:00,-75dBm,2437MHz,~55.0m,false,[ESS]
2020/02/16-12:28:20,BPGC-NAB,00:a3:8e:60:f2:a0,-58dBm,2462MHz,~7.7m,false,[ESS]
2020/02/16-12:28:20,BPGC-NAB,08:4f:a9:10:4b:80,-74dBm,2462MHz,~48.6m,false,[ESS]
