Xiaomi xiaomi Mi A1 xiaomi/tissot/tissot_sprout:9/PKQ1.180917.001/V10.0.16.0.PDHMIXM:user/release-keys
Time Stamp,SSID,BSSID,Strength,Primary Frequency,Distance,802.11mc,Security
2020/02/16-12:28:25,BPGC-NAB,00:a3:8e:60:f2:a0,-60dBm,2462MHz,~9.7m,false,[ESS]
2020/02/16-12:28:25,BPGC-NAB,08:4f:a9:10:4b:80,-40dBm,2462MHz,~1.0m,false,[ESS]
2020/02/16-12:28:25,BPGC-NAB,70:ea:1a:22:8f:e0,-57dBm,2437MHz,~6.9m,false,[ESS]
2020/02/16-12:28:25,BPGC-NAB,70:ea:1a:22:96:00,-65dBm,2412MHz,~17.6m,false,[ESS]
2020/02/16-12:28:25,BPGC-NAB,70:ea:1a:22:96:20,-69dBm,2462MHz,~27.3m,false,[ESS]
2020/02/16-12:28:25,BPGC-NAB,70:ea:1a:22:96:a0,-80dBm,2412MHz,~98.9m,false,[ESS]
2020/02/16-12:28:25,BPGC-NAB,70:ea:1a:22:97:80,-70dBm,2412MHz,~31.3m,false,[ESS]
2020/02/16-12:28:25,BPGC-NAB,70:ea:1a:22:98:20,-73dBm,2437MHz,~43.7m,false,[ESS]
2020/02/16-12:28:25,BPGC-NAB,70:ea:1a:22:a0:20,-75dBm,2437MHz,~55.0m,false,[ESS]
2020/02/16-12:28:25,BPGC-NAB,70:ea:1a:22:a5:a0,-71dBm,2462MHz,~34.4m,false,[ESS]
2020/02/16-12:28:25,BPGC-NAB,70:ea:1a:22:a9:40,-66dBm,2412MHz,~19.7m,false,[ESS]
2020/02/16-12:28:25,BPGC-NAB,70:ea:1a:22:a9:a0,-66dBm,2437MHz,~19.5m,false,[ESS]
2020/02/16-12:28:25,BPGC-NAB,70:ea:1a:22:ac:00,-69dBm,2437MHz,~27.6m,false,[ESS]
2020/02/16-12:28:25,BPGC-NAB,a8:b4:56:cc:de:00,-74dBm,2462MHz,~48.6m,false,[ESS]
2020/02/16-12:28:27,BPGC-NAB,00:a3:8e:60:f2:a0,-67dBm,2462MHz,~21.7m,false,[ESS]
2020/02/16-12:28:27,BPGC-NAB,08:4f:a9:10:4b:80,-37dBm,2462MHz,~0.7m,false,[ESS]
2020/02/16-12:28:27,BPGC-NAB,08:4f:a9:2d:77:40,-75dBm,2412MHz,~55.6m,false,[ESS]
2020/02/16-12:28:27,BPGC-NAB,08:4f:a9:43:38:a0,-73dBm,2437MHz,~43.7m,false,[ESS]
2020/02/16-12:28:27,BPGC-NAB,68:3b:78:e9:c0:e0,-75dBm,2462MHz,~54.5m,false,[ESS]
2020/02/16-12:28:27,BPGC-NAB,70:ea:1a:22:8f:e0,-69dBm,2437MHz,~27.6m,false,[ESS]
2020/02/16-12:28:27,BPGC-NAB,70:ea:1a:22:96:00,-70dBm,2412MHz,~31.3m,false,[ESS]
2020/02/16-12:28:27,BPGC-NAB,70:ea:1a:22:96:20,-69dBm,2462MHz,~27.3m,false,[ESS]
2020/02/16-12:28:27,BPGC-NAB,70:ea:1a:22:96:a0,-80dBm,2412MHz,~98.9m,false,[ESS]
2020/02/16-12:28:27,BPGC-NAB,70:ea:1a:22:97:80,-66dBm,2412MHz,~19.7m,false,[ESS]
2020/02/16-12:28:27,BPGC-NAB,70:ea:1a:22:98:20,-73dBm,2437MHz,~43.7m,false,[ESS]
2020/02/16-12:28:27,BPGC-NAB,70:ea:1a:22:a0:20,-74dBm,2437MHz,~49.1m,false,[ESS]
2020/02/16-12:28:27,BPGC-NAB,70:ea:1a:22:a5:a0,-76dBm,2462MHz,~61.1m,false,[ESS]
2020/02/16-12:28:27,BPGC-NAB,70:ea:1a:22:a9:40,-65dBm,2412MHz,~17.6m,false,[ESS]
2020/02/16-12:28:27,BPGC-NAB,70:ea:1a:22:a9:a0,-67dBm,2437MHz,~21.9m,false,[ESS]
2020/02/16-12:28:27,BPGC-NAB,70:ea:1a:22:ac:00,-76dBm,2437MHz,~61.8m,false,[ESS]
2020/02/16-12:28:27,BPGC-NAB,a8:b4:56:cc:de:00,-75dBm,2462MHz,~54.5m,false,[ESS]
2020/02/16-12:28:28,BPGC-NAB,00:a3:8e:60:f2:a0,-72dBm,2462MHz,~38.6m,false,[ESS]
2020/02/16-12:28:28,BPGC-NAB,08:4f:a9:2d:77:40,-75dBm,2412MHz,~55.6m,false,[ESS]
2020/02/16-12:28:28,BPGC-NAB,08:4f:a9:43:38:a0,-73dBm,2437MHz,~43.7m,false,[ESS]
2020/02/16-12:28:28,BPGC-NAB,68:3b:78:e9:c0:e0,-75dBm,2462MHz,~54.5m,false,[ESS]
2020/02/16-12:28:28,BPGC-NAB,70:ea:1a:22:8f:e0,-76dBm,2437MHz,~61.8m,false,[ESS]
2020/02/16-12:28:28,BPGC-NAB,70:ea:1a:22:ac:00,-84dBm,2437MHz,~155.1m,false,[ESS]
2020/02/16-12:28:29,BPGC-NAB,00:a3:8e:60:f2:a0,-70dBm,2462MHz,~30.6m,false,[ESS]
2020/02/16-12:28:29,BPGC-NAB,08:4f:a9:2d:77:40,-75dBm,2412MHz,~55.6m,false,[ESS]
2020/02/16-12:28:29,BPGC-NAB,08:4f:a9:43:38:a0,-73dBm,2437MHz,~43.7m,false,[ESS]
2020/02/16-12:28:29,BPGC-NAB,68:3b:78:e9:c0:e0,-75dBm,2462MHz,~54.5m,false,[ESS]
2020/02/16-12:28:29,BPGC-NAB,70:ea:1a:22:8f:e0,-76dBm,2437MHz,~61.8m,false,[ESS]
2020/02/16-12:28:29,BPGC-NAB,70:ea:1a:22:ac:00,-84dBm,2437MHz,~155.1m,false,[ESS]
2020/02/16-12:28:30,BPGC-NAB,00:a3:8e:60:f2:a0,-70dBm,2462MHz,~30.6m,false,[ESS]
2020/02/16-12:28:30,BPGC-NAB,08:4f:a9:2d:77:40,-75dBm,2412MHz,~55.6m,false,[ESS]
2020/02/16-12:28:30,BPGC-NAB,08:4f:a9:43:38:a0,-73dBm,2437MHz,~43.7m,false,[ESS]
2020/02/16-12:28:30,BPGC-NAB,68:3b:78:e9:c0:e0,-75dBm,2462MHz,~54.5m,false,[ESS]
2020/02/16-12:28:30,BPGC-NAB,70:ea:1a:22:8f:e0,-76dBm,2437MHz,~61.8m,false,[ESS]
2020/02/16-12:28:30,BPGC-NAB,70:ea:1a:22:ac:00,-84dBm,2437MHz,~155.1m,false,[ESS]
2020/02/16-12:28:31,BPGC-NAB,00:a3:8e:60:f2:a0,-70dBm,2462MHz,~30.6m,false,[ESS]
2020/02/16-12:28:31,BPGC-NAB,08:4f:a9:2d:77:40,-75dBm,2412MHz,~55.6m,false,[ESS]
2020/02/16-12:28:31,BPGC-NAB,08:4f:a9:43:38:a0,-73dBm,2437MHz,~43.7m,false,[ESS]
2020/02/16-12:28:31,BPGC-NAB,68:3b:78:e9:c0:e0,-75dBm,2462MHz,~54.5m,false,[ESS]
2020/02/16-12:28:31,BPGC-NAB,70:ea:1a:22:8f:e0,-76dBm,2437MHz,~61.8m,false,[ESS]
2020/02/16-12:28:31,BPGC-NAB,70:ea:1a:22:ac:00,-84dBm,2437MHz,~155.1m,false,[ESS]
2020/02/16-12:28:32,BPGC-NAB,00:a3:8e:60:f2:a0,-70dBm,2462MHz,~30.6m,false,[ESS]
2020/02/16-12:28:32,BPGC-NAB,08:4f:a9:2d:77:40,-75dBm,2412MHz,~55.6m,false,[ESS]
2020/02/16-12:28:32,BPGC-NAB,08:4f:a9:43:38:a0,-73dBm,2437MHz,~43.7m,false,[ESS]
2020/02/16-12:28:32,BPGC-NAB,68:3b:78:e9:c0:e0,-75dBm,2462MHz,~54.5m,false,[ESS]
2020/02/16-12:28:32,BPGC-NAB,70:ea:1a:22:8f:e0,-76dBm,2437MHz,~61.8m,false,[ESS]
2020/02/16-12:28:32,BPGC-NAB,70:ea:1a:22:ac:00,-84dBm,2437MHz,~155.1m,false,[ESS]
2020/02/16-12:28:33,BPGC-NAB,00:a3:8e:60:f2:a0,-70dBm,2462MHz,~30.6m,false,[ESS]
2020/02/16-12:28:33,BPGC-NAB,08:4f:a9:2d:77:40,-75dBm,2412MHz,~55.6m,false,[ESS]
