Xiaomi xiaomi Mi A2 
Time Stamp,SSID,BSSID,Strength,Primary Frequency,Distance,802.11mc,Security
2020/02/16-12:28:22,BPGC-NAB,00:a3:8e:60:f2:a0,-66dBm,2462MHz,~19.3m,false,[ESS][WFA-HT]
2020/02/16-12:28:22,BPGC-NAB,08:4f:a9:10:4b:80,-53dBm,2462MHz,~4.3m,false,[ESS][WFA-HT]
2020/02/16-12:28:22,BPGC-NAB,08:4f:a9:2d:8a:a0,-73dBm,2412MHz,~44.2m,false,[ESS][WFA-HT]
2020/02/16-12:28:22,BPGC-WIFI,40:01:7a:b1:00:40,-81dBm,2437MHz,~109.8m,false,[ESS][WFA-HT]
2020/02/16-12:28:22,BPGC-LT,40:01:7a:b1:00:41,-79dBm,2437MHz,~87.2m,false,[WPA2-PSK-CCMP][RSN-PSK-CCMP][WPA-PSK-TKIP][ESS][WFA-HT]
2020/02/16-12:28:22,BPGC-NAB,70:ea:1a:22:87:60,-86dBm,2412MHz,~197.3m,false,[ESS][WFA-HT]
2020/02/16-12:28:22,BPGC-NAB,70:ea:1a:22:8f:e0,-63dBm,2437MHz,~13.8m,false,[ESS][WFA-HT]
2020/02/16-12:28:22,BPGC-NAB,70:ea:1a:22:96:00,-45dBm,2412MHz,~1.8m,false,[ESS][WFA-HT]
2020/02/16-12:28:22,BPGC-NAB,70:ea:1a:22:96:20,-77dBm,2462MHz,~68.6m,false,[ESS][WFA-HT]
2020/02/16-12:28:22,BPGC-NAB,70:ea:1a:22:96:a0,-67dBm,2412MHz,~22.1m,false,[ESS][WFA-HT]
2020/02/16-12:28:22,BPGC-NAB,70:ea:1a:22:98:20,-57dBm,2437MHz,~6.9m,false,[ESS][WFA-HT]
2020/02/16-12:28:22,BPGC-NAB,70:ea:1a:22:9f:80,-81dBm,2462MHz,~108.7m,false,[ESS][WFA-HT]
2020/02/16-12:28:22,BPGC-NAB,70:ea:1a:22:a0:20,-69dBm,2437MHz,~27.6m,false,[ESS][WFA-HT]
2020/02/16-12:28:22,BPGC-NAB,70:ea:1a:22:a5:a0,-69dBm,2462MHz,~27.3m,false,[ESS][WFA-HT]
2020/02/16-12:28:22,BPGC-NAB,70:ea:1a:22:a9:40,-63dBm,2412MHz,~14.0m,false,[ESS][WFA-HT]
2020/02/16-12:28:22,BPGC-NAB,70:ea:1a:22:a9:a0,-62dBm,2437MHz,~12.3m,false,[ESS][WFA-HT]
2020/02/16-12:28:22,BPGC-NAB,70:ea:1a:22:ac:00,-50dBm,2437MHz,~3.1m,false,[ESS][WFA-HT]
2020/02/16-12:28:22,BPGC-NAB,a8:b4:56:cc:de:00,-68dBm,2462MHz,~24.3m,false,[ESS][WFA-HT]
2020/02/16-12:28:23,BPGC-NAB,00:a3:8e:60:f2:a0,-69dBm,2462MHz,~27.3m,false,[ESS][WFA-HT]
2020/02/16-12:28:23,BPGC-NAB,08:4f:a9:10:4b:80,-51dBm,2462MHz,~3.4m,false,[ESS][WFA-HT]
2020/02/16-12:28:23,BPGC-NAB,70:ea:1a:22:8f:e0,-62dBm,2437MHz,~12.3m,false,[ESS][WFA-HT]
2020/02/16-12:28:23,BPGC-NAB,70:ea:1a:22:96:00,-45dBm,2412MHz,~1.8m,false,[ESS][WFA-HT]
2020/02/16-12:28:23,BPGC-NAB,70:ea:1a:22:96:20,-77dBm,2462MHz,~68.6m,false,[ESS][WFA-HT]
2020/02/16-12:28:23,BPGC-NAB,70:ea:1a:22:96:a0,-67dBm,2412MHz,~22.1m,false,[ESS][WFA-HT]
