Xiaomi Xiaomi Redmi Note 5 Pro 
Time Stamp,SSID,BSSID,Strength,Primary Frequency,Distance,802.11mc,Security
2020/02/16-11:59:17,BPGC-NAB,00:a3:8e:60:f2:a0,-54dBm,2462MHz,~4.9m,false,[ESS]
2020/02/16-11:59:17,BPGC-NAB,08:4f:a9:10:4b:80,-53dBm,2462MHz,~4.3m,false,[ESS]
2020/02/16-11:59:17,BPGC-WIFI,40:01:7a:af:d3:60,-79dBm,2462MHz,~86.3m,false,[ESS]
2020/02/16-11:59:17,BPGC-LT,40:01:7a:af:d3:6e,-85dBm,5320MHz,~79.7m,false,[WPA2-PSK-CCMP][RSN-PSK-CCMP][WPA-PSK-TKIP][ESS]
2020/02/16-11:59:17,BPGC-WIFI,40:01:7a:af:d3:6f,-86dBm,5320MHz,~89.5m,false,[ESS]
2020/02/16-11:59:17,BPGC-NAB,70:ea:1a:22:8f:e0,-51dBm,2437MHz,~3.5m,false,[ESS]
2020/02/16-11:59:17,BPGC-NAB,70:ea:1a:22:96:00,-72dBm,2412MHz,~39.4m,false,[ESS]
2020/02/16-11:59:17,BPGC-NAB,70:ea:1a:22:96:20,-69dBm,2462MHz,~27.3m,false,[ESS]
2020/02/16-11:59:17,BPGC-NAB,70:ea:1a:22:96:a0,-74dBm,2412MHz,~49.6m,false,[ESS]
2020/02/16-11:59:17,BPGC-NAB,70:ea:1a:22:97:80,-73dBm,2412MHz,~44.2m,false,[ESS]
2020/02/16-11:59:17,BPGC-NAB,70:ea:1a:22:98:20,-66dBm,2437MHz,~19.5m,false,[ESS]
2020/02/16-11:59:17,BPGC-NAB,70:ea:1a:22:a0:20,-70dBm,2437MHz,~30.9m,false,[ESS]
2020/02/16-11:59:17,BPGC-NAB,70:ea:1a:22:a5:a0,-81dBm,2462MHz,~108.7m,false,[ESS]
2020/02/16-11:59:17,BPGC-NAB,70:ea:1a:22:a9:40,-66dBm,2412MHz,~19.7m,false,[ESS]
2020/02/16-11:59:17,BPGC-NAB,70:ea:1a:22:a9:a0,-76dBm,2437MHz,~61.8m,false,[ESS]
2020/02/16-11:59:17,BPGC-NAB,70:ea:1a:22:ac:00,-62dBm,2437MHz,~12.3m,false,[ESS]
2020/02/16-11:59:17,sks,88:63:df:bb:74:a5,-87dBm,2462MHz,~216.9m,false,[WPA2-PSK-CCMP][RSN-PSK-CCMP][ESS]
2020/02/16-11:59:17,BPGC-NAB,a8:b4:56:ca:8f:40,-72dBm,2437MHz,~39.0m,false,[ESS]
2020/02/16-11:59:17,BPGC-NAB,a8:b4:56:cc:de:00,-75dBm,2462MHz,~54.5m,false,[ESS]
2020/02/16-11:59:18,BPGC-NAB,08:4f:a9:10:4b:80,-54dBm,2462MHz,~4.9m,false,[ESS]
2020/02/16-11:59:18,BPGC-NAB,70:ea:1a:22:8f:e0,-53dBm,2437MHz,~4.4m,false,[ESS]
2020/02/16-11:59:18,BPGC-NAB,70:ea:1a:22:96:20,-69dBm,2462MHz,~27.3m,false,[ESS]
2020/02/16-11:59:18,BPGC-NAB,70:ea:1a:22:96:a0,-74dBm,2412MHz,~49.6m,false,[ESS]
2020/02/16-11:59:18,BPGC-NAB,70:ea:1a:22:a9:a0,-73dBm,2437MHz,~43.7m,false,[ESS]
2020/02/16-11:59:18,BPGC-NAB,a8:b4:56:ca:8f:40,-72dBm,2437MHz,~39.0m,false,[ESS]
2020/02/16-11:59:19,BPGC-NAB,08:4f:a9:10:4b:80,-54dBm,2462MHz,~4.9m,false,[ESS]
2020/02/16-11:59:19,BPGC-NAB,70:ea:1a:22:8f:e0,-54dBm,2437MHz,~4.9m,false,[ESS]
2020/02/16-11:59:19,BPGC-NAB,70:ea:1a:22:96:20,-69dBm,2462MHz,~27.3m,false,[ESS]
2020/02/16-11:59:19,BPGC-NAB,70:ea:1a:22:96:a0,-74dBm,2412MHz,~49.6m,false,[ESS]
2020/02/16-11:59:19,BPGC-NAB,70:ea:1a:22:a9:a0,-73dBm,2437MHz,~43.7m,false,[ESS]
2020/02/16-11:59:19,BPGC-NAB,a8:b4:56:ca:8f:40,-72dBm,2437MHz,~39.0m,false,[ESS]
2020/02/16-11:59:20,BPGC-NAB,08:4f:a9:10:4b:80,-54dBm,2462MHz,~4.9m,false,[ESS]
2020/02/16-11:59:20,BPGC-NAB,70:ea:1a:22:8f:e0,-54dBm,2437MHz,~4.9m,false,[ESS]
2020/02/16-11:59:20,BPGC-NAB,70:ea:1a:22:96:20,-69dBm,2462MHz,~27.3m,false,[ESS]
2020/02/16-11:59:20,BPGC-NAB,70:ea:1a:22:96:a0,-74dBm,2412MHz,~49.6m,false,[ESS]
2020/02/16-11:59:20,BPGC-NAB,70:ea:1a:22:a9:a0,-73dBm,2437MHz,~43.7m,false,[ESS]
