Xiaomi xiaomi Mi A1 xiaomi/tissot/tissot_sprout:9/PKQ1.180917.001/V10.0.16.0.PDHMIXM:user/release-keys
Time Stamp,SSID,BSSID,Strength,Primary Frequency,Distance,802.11mc,Security
2020/02/16-12:01:28,BPGC-NAB,00:a3:8e:60:f2:a0,-76dBm,2462MHz,~61.1m,false,[ESS]
2020/02/16-12:01:28,BPGC-NAB,08:4f:a9:10:4b:80,-74dBm,2462MHz,~48.6m,false,[ESS]
2020/02/16-12:01:28,BPGC-NAB,70:ea:1a:22:8f:e0,-61dBm,2437MHz,~11.0m,false,[ESS]
2020/02/16-12:01:28,BPGC-NAB,70:ea:1a:22:96:20,-81dBm,2462MHz,~108.7m,false,[ESS]
2020/02/16-12:01:28,BPGC-NAB,70:ea:1a:22:96:a0,-74dBm,2412MHz,~49.6m,false,[ESS]
2020/02/16-12:01:28,BPGC-NAB,70:ea:1a:22:98:20,-68dBm,2437MHz,~24.6m,false,[ESS]
2020/02/16-12:01:28,BPGC-NAB,70:ea:1a:22:a0:20,-75dBm,2437MHz,~55.0m,false,[ESS]
2020/02/16-12:01:28,BPGC-NAB,70:ea:1a:22:a5:a0,-77dBm,2462MHz,~68.6m,false,[ESS]
2020/02/16-12:01:28,BPGC-NAB,70:ea:1a:22:a9:a0,-79dBm,2437MHz,~87.2m,false,[ESS]
2020/02/16-12:01:28,BPGC-NAB,70:ea:1a:22:ac:00,-74dBm,2437MHz,~49.1m,false,[ESS]
2020/02/16-12:01:28,BPGC-NAB,a8:b4:56:ca:8f:40,-75dBm,2437MHz,~55.0m,false,[ESS]
2020/02/16-12:01:28,BPGC-NAB,a8:b4:56:cc:de:00,-73dBm,2462MHz,~43.3m,false,[ESS]
2020/02/16-12:01:30,BPGC-NAB,08:4f:a9:10:4b:80,-70dBm,2462MHz,~30.6m,false,[ESS]
2020/02/16-12:01:30,BPGC-NAB,70:ea:1a:22:8f:e0,-63dBm,2437MHz,~13.8m,false,[ESS]
2020/02/16-12:01:30,BPGC-NAB,70:ea:1a:22:96:20,-78dBm,2462MHz,~77.0m,false,[ESS]
2020/02/16-12:01:30,BPGC-NAB,70:ea:1a:22:96:a0,-73dBm,2412MHz,~44.2m,false,[ESS]
2020/02/16-12:01:30,BPGC-NAB,70:ea:1a:22:a9:a0,-80dBm,2437MHz,~97.9m,false,[ESS]
2020/02/16-12:01:30,BPGC-NAB,a8:b4:56:ca:8f:40,-72dBm,2437MHz,~39.0m,false,[ESS]
2020/02/16-12:01:31,BPGC-NAB,08:4f:a9:10:4b:80,-64dBm,2462MHz,~15.4m,false,[ESS]
2020/02/16-12:01:31,BPGC-NAB,70:ea:1a:22:8f:e0,-65dBm,2437MHz,~17.4m,false,[ESS]
2020/02/16-12:01:31,BPGC-NAB,70:ea:1a:22:96:20,-75dBm,2462MHz,~54.5m,false,[ESS]
2020/02/16-12:01:31,BPGC-NAB,70:ea:1a:22:96:a0,-71dBm,2412MHz,~35.1m,false,[ESS]
2020/02/16-12:01:31,BPGC-NAB,70:ea:1a:22:a9:a0,-80dBm,2437MHz,~97.9m,false,[ESS]
2020/02/16-12:01:31,BPGC-NAB,a8:b4:56:ca:8f:40,-67dBm,2437MHz,~21.9m,false,[ESS]
2020/02/16-12:01:32,BPGC-NAB,08:4f:a9:10:4b:80,-64dBm,2462MHz,~15.4m,false,[ESS]
2020/02/16-12:01:32,BPGC-NAB,70:ea:1a:22:8f:e0,-60dBm,2437MHz,~9.8m,false,[ESS]
2020/02/16-12:01:32,BPGC-NAB,70:ea:1a:22:96:20,-75dBm,2462MHz,~54.5m,false,[ESS]
2020/02/16-12:01:32,BPGC-NAB,70:ea:1a:22:96:a0,-71dBm,2412MHz,~35.1m,false,[ESS]
2020/02/16-12:01:32,BPGC-NAB,70:ea:1a:22:a9:a0,-80dBm,2437MHz,~97.9m,false,[ESS]
2020/02/16-12:01:32,BPGC-NAB,a8:b4:56:ca:8f:40,-67dBm,2437MHz,~21.9m,false,[ESS]
2020/02/16-12:01:33,BPGC-NAB,08:4f:a9:10:4b:80,-64dBm,2462MHz,~15.4m,false,[ESS]
2020/02/16-12:01:33,BPGC-NAB,70:ea:1a:22:8f:e0,-60dBm,2437MHz,~9.8m,false,[ESS]
2020/02/16-12:01:33,BPGC-NAB,70:ea:1a:22:96:20,-75dBm,2462MHz,~54.5m,false,[ESS]
2020/02/16-12:01:33,BPGC-NAB,70:ea:1a:22:96:a0,-71dBm,2412MHz,~35.1m,false,[ESS]
2020/02/16-12:01:33,BPGC-NAB,70:ea:1a:22:a9:a0,-80dBm,2437MHz,~97.9m,false,[ESS]
2020/02/16-12:01:33,BPGC-NAB,a8:b4:56:ca:8f:40,-67dBm,2437MHz,~21.9m,false,[ESS]
2020/02/16-12:01:34,BPGC-NAB,08:4f:a9:10:4b:80,-64dBm,2462MHz,~15.4m,false,[ESS]
2020/02/16-12:01:34,BPGC-NAB,70:ea:1a:22:8f:e0,-60dBm,2437MHz,~9.8m,false,[ESS]
2020/02/16-12:01:34,BPGC-NAB,70:ea:1a:22:96:20,-75dBm,2462MHz,~54.5m,false,[ESS]
2020/02/16-12:01:34,BPGC-NAB,70:ea:1a:22:96:a0,-71dBm,2412MHz,~35.1m,false,[ESS]
2020/02/16-12:01:34,BPGC-NAB,70:ea:1a:22:a9:a0,-80dBm,2437MHz,~97.9m,false,[ESS]
2020/02/16-12:01:34,BPGC-NAB,a8:b4:56:ca:8f:40,-67dBm,2437MHz,~21.9m,false,[ESS]
2020/02/16-12:01:35,BPGC-NAB,08:4f:a9:10:4b:80,-64dBm,2462MHz,~15.4m,false,[ESS]
2020/02/16-12:01:35,BPGC-NAB,70:ea:1a:22:8f:e0,-60dBm,2437MHz,~9.8m,false,[ESS]
2020/02/16-12:01:35,BPGC-NAB,70:ea:1a:22:96:20,-75dBm,2462MHz,~54.5m,false,[ESS]
2020/02/16-12:01:35,BPGC-NAB,70:ea:1a:22:96:a0,-71dBm,2412MHz,~35.1m,false,[ESS]
2020/02/16-12:01:35,BPGC-NAB,70:ea:1a:22:a9:a0,-80dBm,2437MHz,~97.9m,false,[ESS]
2020/02/16-12:01:35,BPGC-NAB,a8:b4:56:ca:8f:40,-67dBm,2437MHz,~21.9m,false,[ESS]
2020/02/16-12:01:36,BPGC-NAB,08:4f:a9:10:4b:80,-64dBm,2462MHz,~15.4m,false,[ESS]
2020/02/16-12:01:36,BPGC-NAB,70:ea:1a:22:8f:e0,-60dBm,2437MHz,~9.8m,false,[ESS]
2020/02/16-12:01:36,BPGC-NAB,70:ea:1a:22:96:20,-75dBm,2462MHz,~54.5m,false,[ESS]
2020/02/16-12:01:36,BPGC-NAB,70:ea:1a:22:96:a0,-71dBm,2412MHz,~35.1m,false,[ESS]
2020/02/16-12:01:36,BPGC-NAB,70:ea:1a:22:a9:a0,-80dBm,2437MHz,~97.9m,false,[ESS]
2020/02/16-12:01:36,BPGC-NAB,a8:b4:56:ca:8f:40,-67dBm,2437MHz,~21.9m,false,[ESS]
2020/02/16-12:01:37,BPGC-NAB,08:4f:a9:10:4b:80,-64dBm,2462MHz,~15.4m,false,[ESS]
2020/02/16-12:01:37,BPGC-NAB,70:ea:1a:22:8f:e0,-60dBm,2437MHz,~9.8m,false,[ESS]
