Xiaomi xiaomi Mi A2 
Time Stamp,SSID,BSSID,Strength,Primary Frequency,Distance,802.11mc,Security
2020/02/16-12:01:46,BPGC-NAB,08:4f:a9:10:4b:80,-62dBm,2462MHz,~12.2m,false,[ESS][WFA-HT]
2020/02/16-12:01:46,BPGC-NAB,70:ea:1a:22:8f:e0,-53dBm,2437MHz,~4.4m,false,[ESS][WFA-HT]
2020/02/16-12:01:46,BPGC-NAB,70:ea:1a:22:96:00,-80dBm,2412MHz,~98.9m,false,[ESS][WFA-HT]
2020/02/16-12:01:46,BPGC-NAB,70:ea:1a:22:96:20,-68dBm,2462MHz,~24.3m,false,[ESS][WFA-HT]
2020/02/16-12:01:46,BPGC-NAB,a8:b4:56:ca:8f:40,-66dBm,2437MHz,~19.5m,false,[ESS][WFA-HT]
2020/02/16-12:01:47,BPGC-NAB,08:4f:a9:10:4b:80,-62dBm,2462MHz,~12.2m,false,[ESS][WFA-HT]
2020/02/16-12:01:47,BPGC-NAB,70:ea:1a:22:8f:e0,-59dBm,2437MHz,~8.7m,false,[ESS][WFA-HT]
2020/02/16-12:01:47,BPGC-NAB,70:ea:1a:22:96:00,-80dBm,2412MHz,~98.9m,false,[ESS][WFA-HT]
2020/02/16-12:01:47,BPGC-NAB,70:ea:1a:22:96:20,-68dBm,2462MHz,~24.3m,false,[ESS][WFA-HT]
2020/02/16-12:01:47,BPGC-NAB,a8:b4:56:ca:8f:40,-66dBm,2437MHz,~19.5m,false,[ESS][WFA-HT]
2020/02/16-12:01:48,BPGC-NAB,08:4f:a9:10:4b:80,-62dBm,2462MHz,~12.2m,false,[ESS][WFA-HT]
2020/02/16-12:01:48,BPGC-NAB,70:ea:1a:22:8f:e0,-59dBm,2437MHz,~8.7m,false,[ESS][WFA-HT]
2020/02/16-12:01:48,BPGC-NAB,70:ea:1a:22:96:00,-80dBm,2412MHz,~98.9m,false,[ESS][WFA-HT]
2020/02/16-12:01:48,BPGC-NAB,70:ea:1a:22:96:20,-68dBm,2462MHz,~24.3m,false,[ESS][WFA-HT]
2020/02/16-12:01:48,BPGC-NAB,a8:b4:56:ca:8f:40,-66dBm,2437MHz,~19.5m,false,[ESS][WFA-HT]
2020/02/16-12:01:49,BPGC-NAB,08:4f:a9:10:4b:80,-62dBm,2462MHz,~12.2m,false,[ESS][WFA-HT]
2020/02/16-12:01:49,BPGC-NAB,70:ea:1a:22:8f:e0,-59dBm,2437MHz,~8.7m,false,[ESS][WFA-HT]
2020/02/16-12:01:49,BPGC-NAB,70:ea:1a:22:96:00,-80dBm,2412MHz,~98.9m,false,[ESS][WFA-HT]
2020/02/16-12:01:49,BPGC-NAB,70:ea:1a:22:96:20,-68dBm,2462MHz,~24.3m,false,[ESS][WFA-HT]
2020/02/16-12:01:49,BPGC-NAB,a8:b4:56:ca:8f:40,-66dBm,2437MHz,~19.5m,false,[ESS][WFA-HT]
2020/02/16-12:01:50,BPGC-NAB,08:4f:a9:10:4b:80,-62dBm,2462MHz,~12.2m,false,[ESS][WFA-HT]
2020/02/16-12:01:50,BPGC-NAB,70:ea:1a:22:8f:e0,-60dBm,2437MHz,~9.8m,false,[ESS][WFA-HT]
2020/02/16-12:01:50,BPGC-NAB,70:ea:1a:22:96:00,-80dBm,2412MHz,~98.9m,false,[ESS][WFA-HT]
2020/02/16-12:01:50,BPGC-NAB,70:ea:1a:22:96:20,-68dBm,2462MHz,~24.3m,false,[ESS][WFA-HT]
2020/02/16-12:01:50,BPGC-NAB,a8:b4:56:ca:8f:40,-66dBm,2437MHz,~19.5m,false,[ESS][WFA-HT]
2020/02/16-12:01:51,BPGC-NAB,00:a3:8e:60:f2:a0,-84dBm,2462MHz,~153.5m,false,[ESS][WFA-HT]
2020/02/16-12:01:51,BPGC-NAB,08:4f:a9:10:4b:80,-62dBm,2462MHz,~12.2m,false,[ESS][WFA-HT]
2020/02/16-12:01:51,BPGC-NAB,70:ea:1a:22:8f:e0,-61dBm,2437MHz,~11.0m,false,[ESS][WFA-HT]
2020/02/16-12:01:51,BPGC-NAB,70:ea:1a:22:96:00,-80dBm,2412MHz,~98.9m,false,[ESS][WFA-HT]
2020/02/16-12:01:51,BPGC-NAB,70:ea:1a:22:96:20,-71dBm,2462MHz,~34.4m,false,[ESS][WFA-HT]
2020/02/16-12:01:51,BPGC-NAB,a8:b4:56:ca:8f:40,-69dBm,2437MHz,~27.6m,false,[ESS][WFA-HT]
2020/02/16-12:01:52,BPGC-NAB,00:a3:8e:60:f2:a0,-84dBm,2462MHz,~153.5m,false,[ESS][WFA-HT]
2020/02/16-12:01:52,BPGC-NAB,70:ea:1a:22:8f:e0,-61dBm,2437MHz,~11.0m,false,[ESS][WFA-HT]
2020/02/16-12:01:52,BPGC-NAB,70:ea:1a:22:96:20,-74dBm,2462MHz,~48.6m,false,[ESS][WFA-HT]
2020/02/16-12:01:52,BPGC-NAB,a8:b4:56:ca:8f:40,-72dBm,2437MHz,~39.0m,false,[ESS][WFA-HT]
2020/02/16-12:01:53,BPGC-NAB,00:a3:8e:60:f2:a0,-84dBm,2462MHz,~153.5m,false,[ESS][WFA-HT]
2020/02/16-12:01:53,BPGC-NAB,70:ea:1a:22:8f:e0,-60dBm,2437MHz,~9.8m,false,[ESS][WFA-HT]
2020/02/16-12:01:53,BPGC-NAB,70:ea:1a:22:96:20,-74dBm,2462MHz,~48.6m,false,[ESS][WFA-HT]
2020/02/16-12:01:53,BPGC-NAB,a8:b4:56:ca:8f:40,-72dBm,2437MHz,~39.0m,false,[ESS][WFA-HT]
2020/02/16-12:01:56,BPGC-NAB,00:a3:8e:60:f2:a0,-84dBm,2462MHz,~153.5m,false,[ESS][WFA-HT]
2020/02/16-12:01:56,BPGC-NAB,70:ea:1a:22:8f:e0,-60dBm,2437MHz,~9.8m,false,[ESS][WFA-HT]
2020/02/16-12:01:56,BPGC-NAB,70:ea:1a:22:96:20,-74dBm,2462MHz,~48.6m,false,[ESS][WFA-HT]
2020/02/16-12:01:56,BPGC-NAB,a8:b4:56:ca:8f:40,-72dBm,2437MHz,~39.0m,false,[ESS][WFA-HT]
2020/02/16-12:01:57,BPGC-NAB,00:a3:8e:60:f2:a0,-84dBm,2462MHz,~153.5m,false,[ESS][WFA-HT]
2020/02/16-12:01:57,BPGC-NAB,70:ea:1a:22:8f:e0,-60dBm,2437MHz,~9.8m,false,[ESS][WFA-HT]
2020/02/16-12:01:57,BPGC-NAB,70:ea:1a:22:96:20,-74dBm,2462MHz,~48.6m,false,[ESS][WFA-HT]
2020/02/16-12:01:57,BPGC-NAB,a8:b4:56:ca:8f:40,-72dBm,2437MHz,~39.0m,false,[ESS][WFA-HT]
2020/02/16-12:01:58,BPGC-NAB,00:a3:8e:60:f2:a0,-84dBm,2462MHz,~153.5m,false,[ESS][WFA-HT]
2020/02/16-12:01:58,BPGC-NAB,70:ea:1a:22:8f:e0,-60dBm,2437MHz,~9.8m,false,[ESS][WFA-HT]
2020/02/16-12:01:58,BPGC-NAB,70:ea:1a:22:96:20,-74dBm,2462MHz,~48.6m,false,[ESS][WFA-HT]
2020/02/16-12:01:58,BPGC-NAB,a8:b4:56:ca:8f:40,-72dBm,2437MHz,~39.0m,false,[ESS][WFA-HT]
2020/02/16-12:01:59,BPGC-NAB,00:a3:8e:60:f2:a0,-84dBm,2462MHz,~153.5m,false,[ESS][WFA-HT]
2020/02/16-12:01:59,BPGC-NAB,70:ea:1a:22:8f:e0,-60dBm,2437MHz,~9.8m,false,[ESS][WFA-HT]
2020/02/16-12:01:59,BPGC-NAB,70:ea:1a:22:96:20,-74dBm,2462MHz,~48.6m,false,[ESS][WFA-HT]
2020/02/16-12:01:59,BPGC-NAB,a8:b4:56:ca:8f:40,-72dBm,2437MHz,~39.0m,false,[ESS][WFA-HT]
2020/02/16-12:02:00,BPGC-NAB,00:a3:8e:60:f2:a0,-84dBm,2462MHz,~153.5m,false,[ESS][WFA-HT]
2020/02/16-12:02:00,BPGC-NAB,70:ea:1a:22:8f:e0,-60dBm,2437MHz,~9.8m,false,[ESS][WFA-HT]
2020/02/16-12:02:00,BPGC-NAB,70:ea:1a:22:96:20,-74dBm,2462MHz,~48.6m,false,[ESS][WFA-HT]
2020/02/16-12:02:00,BPGC-NAB,a8:b4:56:ca:8f:40,-72dBm,2437MHz,~39.0m,false,[ESS][WFA-HT]
2020/02/16-12:02:01,BPGC-NAB,00:a3:8e:60:f2:a0,-84dBm,2462MHz,~153.5m,false,[ESS][WFA-HT]
2020/02/16-12:02:01,BPGC-NAB,70:ea:1a:22:8f:e0,-60dBm,2437MHz,~9.8m,false,[ESS][WFA-HT]
2020/02/16-12:02:01,BPGC-NAB,70:ea:1a:22:96:20,-74dBm,2462MHz,~48.6m,false,[ESS][WFA-HT]
2020/02/16-12:02:01,BPGC-NAB,a8:b4:56:ca:8f:40,-72dBm,2437MHz,~39.0m,false,[ESS][WFA-HT]
2020/02/16-12:02:02,BPGC-NAB,00:a3:8e:60:f2:a0,-84dBm,2462MHz,~153.5m,false,[ESS][WFA-HT]
2020/02/16-12:02:02,BPGC-NAB,70:ea:1a:22:8f:e0,-60dBm,2437MHz,~9.8m,false,[ESS][WFA-HT]
2020/02/16-12:02:02,BPGC-NAB,70:ea:1a:22:96:20,-74dBm,2462MHz,~48.6m,false,[ESS][WFA-HT]
2020/02/16-12:02:02,BPGC-NAB,a8:b4:56:ca:8f:40,-72dBm,2437MHz,~39.0m,false,[ESS][WFA-HT]
2020/02/16-12:02:03,BPGC-NAB,00:a3:8e:60:f2:a0,-84dBm,2462MHz,~153.5m,false,[ESS][WFA-HT]
2020/02/16-12:02:03,BPGC-NAB,70:ea:1a:22:8f:e0,-60dBm,2437MHz,~9.8m,false,[ESS][WFA-HT]
2020/02/16-12:02:03,BPGC-NAB,70:ea:1a:22:96:20,-74dBm,2462MHz,~48.6m,false,[ESS][WFA-HT]
2020/02/16-12:02:03,BPGC-NAB,a8:b4:56:ca:8f:40,-72dBm,2437MHz,~39.0m,false,[ESS][WFA-HT]
2020/02/16-12:02:04,BPGC-NAB,00:a3:8e:60:f2:a0,-84dBm,2462MHz,~153.5m,false,[ESS][WFA-HT]
2020/02/16-12:02:04,BPGC-NAB,70:ea:1a:22:8f:e0,-60dBm,2437MHz,~9.8m,false,[ESS][WFA-HT]
2020/02/16-12:02:04,BPGC-NAB,70:ea:1a:22:96:20,-74dBm,2462MHz,~48.6m,false,[ESS][WFA-HT]
2020/02/16-12:02:04,BPGC-NAB,a8:b4:56:ca:8f:40,-72dBm,2437MHz,~39.0m,false,[ESS][WFA-HT]
2020/02/16-12:02:05,BPGC-NAB,00:a3:8e:60:f2:a0,-84dBm,2462MHz,~153.5m,false,[ESS][WFA-HT]
2020/02/16-12:02:05,BPGC-NAB,70:ea:1a:22:8f:e0,-60dBm,2437MHz,~9.8m,false,[ESS][WFA-HT]
2020/02/16-12:02:05,BPGC-NAB,70:ea:1a:22:96:20,-74dBm,2462MHz,~48.6m,false,[ESS][WFA-HT]
2020/02/16-12:02:05,BPGC-NAB,a8:b4:56:ca:8f:40,-72dBm,2437MHz,~39.0m,false,[ESS][WFA-HT]
2020/02/16-12:02:06,BPGC-NAB,00:a3:8e:60:f2:a0,-84dBm,2462MHz,~153.5m,false,[ESS][WFA-HT]
2020/02/16-12:02:06,BPGC-NAB,70:ea:1a:22:8f:e0,-60dBm,2437MHz,~9.8m,false,[ESS][WFA-HT]
2020/02/16-12:02:06,BPGC-NAB,70:ea:1a:22:96:20,-74dBm,2462MHz,~48.6m,false,[ESS][WFA-HT]
2020/02/16-12:02:06,BPGC-NAB,a8:b4:56:ca:8f:40,-72dBm,2437MHz,~39.0m,false,[ESS][WFA-HT]
2020/02/16-12:02:07,BPGC-NAB,00:a3:8e:60:f2:a0,-84dBm,2462MHz,~153.5m,false,[ESS][WFA-HT]
2020/02/16-12:02:07,BPGC-NAB,08:4f:a9:10:4b:80,-54dBm,2462MHz,~4.9m,false,[ESS][WFA-HT]
2020/02/16-12:02:07,BPGC-NAB,70:ea:1a:22:8f:e0,-60dBm,2437MHz,~9.8m,false,[ESS][WFA-HT]
2020/02/16-12:02:07,BPGC-NAB,70:ea:1a:22:96:20,-74dBm,2462MHz,~48.6m,false,[ESS][WFA-HT]
2020/02/16-12:02:07,BPGC-NAB,a8:b4:56:ca:8f:40,-71dBm,2437MHz,~34.7m,false,[ESS][WFA-HT]
2020/02/16-12:02:08,BPGC-NAB,08:4f:a9:10:4b:80,-54dBm,2462MHz,~4.9m,false,[ESS][WFA-HT]
2020/02/16-12:02:08,BPGC-NAB,70:ea:1a:22:8f:e0,-60dBm,2437MHz,~9.8m,false,[ESS][WFA-HT]
2020/02/16-12:02:08,BPGC-NAB,a8:b4:56:ca:8f:40,-70dBm,2437MHz,~30.9m,false,[ESS][WFA-HT]
2020/02/16-12:02:09,BPGC-NAB,08:4f:a9:10:4b:80,-54dBm,2462MHz,~4.9m,false,[ESS][WFA-HT]
2020/02/16-12:02:09,BPGC-NAB,70:ea:1a:22:8f:e0,-60dBm,2437MHz,~9.8m,false,[ESS][WFA-HT]
2020/02/16-12:02:09,BPGC-NAB,a8:b4:56:ca:8f:40,-70dBm,2437MHz,~30.9m,false,[ESS][WFA-HT]
2020/02/16-12:02:10,BPGC-NAB,08:4f:a9:10:4b:80,-54dBm,2462MHz,~4.9m,false,[ESS][WFA-HT]
2020/02/16-12:02:10,BPGC-NAB,70:ea:1a:22:8f:e0,-60dBm,2437MHz,~9.8m,false,[ESS][WFA-HT]
2020/02/16-12:02:10,BPGC-NAB,a8:b4:56:ca:8f:40,-70dBm,2437MHz,~30.9m,false,[ESS][WFA-HT]
2020/02/16-12:02:11,BPGC-NAB,08:4f:a9:10:4b:80,-54dBm,2462MHz,~4.9m,false,[ESS][WFA-HT]
2020/02/16-12:02:11,BPGC-NAB,70:ea:1a:22:8f:e0,-60dBm,2437MHz,~9.8m,false,[ESS][WFA-HT]
2020/02/16-12:02:11,BPGC-NAB,a8:b4:56:ca:8f:40,-70dBm,2437MHz,~30.9m,false,[ESS][WFA-HT]
2020/02/16-12:02:12,BPGC-NAB,08:4f:a9:10:4b:80,-55dBm,2462MHz,~5.4m,false,[ESS][WFA-HT]
2020/02/16-12:02:12,BPGC-NAB,70:ea:1a:22:8f:e0,-56dBm,2437MHz,~6.2m,false,[ESS][WFA-HT]
2020/02/16-12:02:12,BPGC-NAB,a8:b4:56:ca:8f:40,-70dBm,2437MHz,~30.9m,false,[ESS][WFA-HT]
2020/02/16-12:02:13,BPGC-NAB,08:4f:a9:10:4b:80,-56dBm,2462MHz,~6.1m,false,[ESS][WFA-HT]
2020/02/16-12:02:13,BPGC-NAB,70:ea:1a:22:8f:e0,-53dBm,2437MHz,~4.4m,false,[ESS][WFA-HT]
